jurisdiccion,fecha,salario_promedio
Buenos Aires,2015-01-01,12466.020272815145
C.A.B.A.,2015-01-01,15214.778427482674
Catamarca,2015-01-01,11903.691125316593
Chaco,2015-01-01,9482.148102635163
Chubut,2015-01-01,22177.791522778654
Corrientes,2015-01-01,9531.991937875655
Córdoba,2015-01-01,11551.4858854843
Entre Ríos,2015-01-01,10238.100753292769
Formosa,2015-01-01,9367.018329613607
Jujuy,2015-01-01,9412.520164851901
La Pampa,2015-01-01,11162.512879492464
La Rioja,2015-01-01,9562.771590706618
Mendoza,2015-01-01,10618.804937047102
Misiones,2015-01-01,9048.764949854152
Neuquén,2015-01-01,23101.694436652033
Río Negro,2015-01-01,11430.620509376924
Salta,2015-01-01,9343.159431098256
San Juan,2015-01-01,11045.260638997606
San Luis,2015-01-01,11629.17410964756
Santa Cruz,2015-01-01,25120.84673936788
Santa Fe,2015-01-01,12050.45291683446
Santiago del Estero,2015-01-01,8592.937758097989
Tierra del Fuego,2015-01-01,19830.642173748263
Tucumán,2015-01-01,9558.010687189595
Buenos Aires,2015-02-01,11954.010911675532
C.A.B.A.,2015-02-01,14749.21068786923
Catamarca,2015-02-01,9989.009811547294
Chaco,2015-02-01,9317.030762408232
Chubut,2015-02-01,22622.376062215964
Corrientes,2015-02-01,9475.414612717772
Córdoba,2015-02-01,10969.765656605829
Entre Ríos,2015-02-01,9780.256635880214
Formosa,2015-02-01,9337.892598181495
Jujuy,2015-02-01,9353.245863614758
La Pampa,2015-02-01,11130.791468203974
La Rioja,2015-02-01,8086.774015556717
Mendoza,2015-02-01,10048.224360568227
Misiones,2015-02-01,8748.32847972571
Neuquén,2015-02-01,22134.84171035267
Río Negro,2015-02-01,12270.412982517923
Salta,2015-02-01,9281.288877645235
San Juan,2015-02-01,10605.124286075592
San Luis,2015-02-01,10935.396354682003
Santa Cruz,2015-02-01,26498.118673483703
Santa Fe,2015-02-01,11513.422599578436
Santiago del Estero,2015-02-01,8353.284442654935
Tierra del Fuego,2015-02-01,20967.787388777277
