jurisdiccion,fecha,salario_promedio,ipc_nacional,ipc_regional,ipc_region,salario_real_nac,salario_real_reg,salario_real_nac_ma12,salario_real_reg_ma12
Buenos Aires,2016-12-01,30041.686981019047,100,100,GBA,30041.686981019047,30041.686981019047,NA,NA
C.A.B.A.,2016-12-01,35780.54182373917,100,100,GBA,35780.54182373917,35780.54182373917,NA,NA
Catamarca,2016-12-01,28119.51493732491,100,100,NOA,28119.514937324915,28119.514937324915,NA,NA
Chaco,2016-12-01,23817.690885778917,100,100,NEA,23817.690885778917,23817.690885778917,NA,NA
Chubut,2016-12-01,47789.21631951807,100,100,Patagonia,47789.21631951807,47789.21631951807,NA,NA
Corrientes,2016-12-01,22978.912600461634,100,100,NEA,22978.912600461634,22978.912600461634,NA,NA
Córdoba,2016-12-01,27427.461679149714,100,100,Pampeana,27427.461679149714,27427.461679149714,NA,NA
Entre Ríos,2016-12-01,24993.228158479596,100,100,Pampeana,24993.228158479596,24993.228158479596,NA,NA
Formosa,2016-12-01,24557.55607687396,100,100,NEA,24557.55607687396,24557.55607687396,NA,NA
Jujuy,2016-12-01,24789.936507903956,100,100,NOA,24789.936507903956,24789.936507903956,NA,NA
La Pampa,2016-12-01,27105.031321393853,100,100,Pampeana,27105.031321393853,27105.031321393853,NA,NA
La Rioja,2016-12-01,24539.49816725487,100,100,NOA,24539.49816725487,24539.49816725487,NA,NA
Mendoza,2016-12-01,24303.57511133741,100,100,Cuyo,24303.57511133741,24303.57511133741,NA,NA
Misiones,2016-12-01,22175.717828818288,100,100,NEA,22175.717828818288,22175.717828818288,NA,NA
Neuquén,2016-12-01,46276.45764140465,100,100,Patagonia,46276.45764140465,46276.45764140465,NA,NA
Río Negro,2016-12-01,29377.190626547817,100,100,Patagonia,29377.190626547814,29377.190626547814,NA,NA
Salta,2016-12-01,22849.07730286938,100,100,NOA,22849.07730286938,22849.07730286938,NA,NA
San Juan,2016-12-01,24533.069690296816,100,100,Cuyo,24533.069690296816,24533.069690296816,NA,NA
San Luis,2016-12-01,29240.640989689015,100,100,Cuyo,29240.64098968901,29240.64098968901,NA,NA
Santa Cruz,2016-12-01,53207.50820685341,100,100,Patagonia,53207.50820685341,53207.50820685341,NA,NA
Santa Fe,2016-12-01,29060.332093238176,100,100,Pampeana,29060.332093238172,29060.332093238172,NA,NA
Santiago del Estero,2016-12-01,20928.313174735707,100,100,NOA,20928.313174735707,20928.313174735707,NA,NA
Tierra del Fuego,2016-12-01,58456.32916150679,100,100,Patagonia,58456.32916150679,58456.32916150679,NA,NA
Tucumán,2016-12-01,23533.33859472399,100,100,NOA,23533.33859472399,23533.33859472399,NA,NA
Buenos Aires,2017-01-01,22594.035620838265,101.5859,101.313,GBA,22241.310674845885,22301.220594433355,NA,NA
C.A.B.A.,2017-01-01,27166.704066223712,101.5859,101.313,GBA,26742.59327940562,26814.628000576147,NA,NA
Catamarca,2017-01-01,19751.368231086195,101.5859,101.6014,NOA,19443.02135541074,19440.05518731651,NA,NA
Chaco,2017-01-01,17219.730474732645,101.5859,101.6727,NEA,16950.906055596934,16936.434730987417,NA,NA
Chubut,2017-01-01,34927.76201476983,101.5859,102.5593,Patagonia,34382.49010420721,34056.162644216405,NA,NA
Corrientes,2017-01-01,16965.40211013544,101.5859,101.6727,NEA,16700.548117539383,16686.290528465794,NA,NA
Córdoba,2017-01-01,21248.04180685917,101.5859,101.7874,Pampeana,20916.32973361379,20874.923425550875,NA,NA
Entre Ríos,2017-01-01,18433.120833659726,101.5859,101.7874,Pampeana,18145.353669810207,18109.432831234244,NA,NA
Formosa,2017-01-01,17841.05324722235,101.5859,101.6727,NEA,17562.529098253155,17547.535618924594,NA,NA
Jujuy,2017-01-01,17134.591425306397,101.5859,101.6014,NOA,16867.096147503144,16864.522954709675,NA,NA
La Pampa,2017-01-01,19900.952110137336,101.5859,101.7874,Pampeana,19590.270017923096,19551.488799337967,NA,NA
La Rioja,2017-01-01,17322.16823027145,101.5859,101.6014,NOA,17051.74461246241,17049.143250261757,NA,NA
Mendoza,2017-01-01,18155.26828544976,101.5859,101.7074,Cuyo,17871.83879401547,17850.489035654988,NA,NA
Misiones,2017-01-01,16101.337351712846,101.5859,101.6727,NEA,15849.972635683542,15836.441199764386,NA,NA
Neuquén,2017-01-01,33428.50572877078,101.5859,102.5593,Patagonia,32906.63933554832,32594.319314553417,NA,NA
Río Negro,2017-01-01,19536.450048735336,101.5859,102.5593,Patagonia,19231.458350750778,19048.930763699966,NA,NA
