fecha,la_rioja_region,sector,salario_promedio
2016-Q2,1. Resto país,Privado,12539.70833561553
2016-Q2,1. Resto país,Público,13755.17866818175
2016-Q2,2. NOA-Resto,Privado,9395.099716572739
2016-Q2,2. NOA-Resto,Público,11306.762949482387
2016-Q2,3. La Rioja,Privado,9045.019537505605
2016-Q2,3. La Rioja,Público,7048.51418914161
2016-Q3,1. Resto país,Privado,13189.840314095522
2016-Q3,1. Resto país,Público,14811.516383941707
2016-Q3,2. NOA-Resto,Privado,10735.651728875215
2016-Q3,2. NOA-Resto,Público,11558.245265816322
2016-Q3,3. La Rioja,Privado,10538.94426742019
2016-Q3,3. La Rioja,Público,8250.497814652937
2016-Q4,1. Resto país,Privado,14056.702514528968
2016-Q4,1. Resto país,Público,15822.556422809586
2016-Q4,2. NOA-Resto,Privado,11320.348118727226
2016-Q4,2. NOA-Resto,Público,12926.560979229134
2016-Q4,3. La Rioja,Privado,11324.22057340441
2016-Q4,3. La Rioja,Público,9352.727940128296
2017-Q1,1. Resto país,Privado,15036.213968727852
2017-Q1,1. Resto país,Público,17042.63923706368
2017-Q1,2. NOA-Resto,Privado,11562.396787797132
2017-Q1,2. NOA-Resto,Público,13851.406899963844
2017-Q1,3. La Rioja,Privado,11999.292012779553
2017-Q1,3. La Rioja,Público,12665.514422912021
2017-Q2,1. Resto país,Privado,15639.56775039574
2017-Q2,1. Resto país,Público,18108.908569258183
2017-Q2,2. NOA-Resto,Privado,12774.856993163245
2017-Q2,2. NOA-Resto,Público,14818.411480246981
2017-Q2,3. La Rioja,Privado,13016.521627022497
2017-Q2,3. La Rioja,Público,13868.340303917468
2017-Q3,1. Resto país,Privado,16685.090757635608
2017-Q3,1. Resto país,Público,18977.830868574147
2017-Q3,2. NOA-Resto,Privado,14060.898178847496
2017-Q3,2. NOA-Resto,Público,15539.449528008785
2017-Q3,3. La Rioja,Privado,14251.92992533027
2017-Q3,3. La Rioja,Público,14023.216113523573
2017-Q4,1. Resto país,Privado,17981.76276996245
2017-Q4,1. Resto país,Público,19535.917596702882
2017-Q4,2. NOA-Resto,Privado,14392.959057071961
2017-Q4,2. NOA-Resto,Público,16027.441131757818
2017-Q4,3. La Rioja,Privado,14840.537436839688
2017-Q4,3. La Rioja,Público,16027.877843333705
2018-Q1,1. Resto país,Privado,19450.04097509005
2018-Q1,1. Resto país,Público,21857.492984899956
2018-Q1,2. NOA-Resto,Privado,14410.992387933466
2018-Q1,2. NOA-Resto,Público,17604.65708093915
2018-Q1,3. La Rioja,Privado,16111.895337371461
2018-Q1,3. La Rioja,Público,16897.70379825439
2018-Q2,1. Resto país,Privado,19930.759183277805
2018-Q2,1. Resto país,Público,22403.508067390914
2018-Q2,2. NOA-Resto,Privado,16698.119381847377
