fecha,la_rioja_region,desoc,pea,tasa_desoc
2016-Q2,1. Resto país,1090019,11396835,9.564225506467364
2016-Q2,2. NOA-Resto,71614,1022134,7.006322067361031
2016-Q2,3. La Rioja,3688,84041,4.388334265418069
2016-Q3,1. Resto país,1000180,11442344,8.741041171284484
2016-Q3,2. NOA-Resto,64548,1018010,6.340605691496154
2016-Q3,3. La Rioja,4146,85517,4.848158845609645
2016-Q4,1. Resto país,871413,11296173,7.7142320677985365
2016-Q4,2. NOA-Resto,62466,1017073,6.141742038182117
2016-Q4,3. La Rioja,3462,83345,4.153818465414842
2017-Q1,1. Resto país,1075906,11359562,9.47136870242004
2017-Q1,2. NOA-Resto,69101,1031241,6.700761509676206
2017-Q1,3. La Rioja,4121,86709,4.752678499348395
2017-Q2,1. Resto país,1008965,11334340,8.901841659946676
2017-Q2,2. NOA-Resto,75727,1062011,7.130528779833731
2017-Q2,3. La Rioja,3757,86919,4.322415122125197
2017-Q3,1. Resto país,980142,11582025,8.462613403096608
2017-Q3,2. NOA-Resto,75682,1085468,6.972292135742371
2017-Q3,3. La Rioja,2300,83336,2.759911682826149
2017-Q4,1. Resto país,855034,11625062,7.355091955638603
2017-Q4,2. NOA-Resto,67274,1106130,6.0819252709898475
2017-Q4,3. La Rioja,3240,86760,3.7344398340248963
2018-Q1,1. Resto país,1104024,11777830,9.373747116404294
2018-Q1,2. NOA-Resto,75658,1065918,7.097919352145286
2018-Q1,3. La Rioja,3267,88094,3.7085386064885233
2018-Q2,1. Resto país,1151013,11721266,9.819869287157207
2018-Q2,2. NOA-Resto,85989,1074038,8.006141309711575
2018-Q2,3. La Rioja,2000,86038,2.3245542667193564
2018-Q3,1. Resto país,1090927,11830932,9.220972616527591
2018-Q3,2. NOA-Resto,72880,1070826,6.805961005802998
2018-Q3,3. La Rioja,3970,88043,4.509160296673217
2018-Q4,1. Resto país,1097438,11768617,9.325122909514347
2018-Q4,2. NOA-Resto,83423,1119475,7.451975256258514
2018-Q4,3. La Rioja,4243,90409,4.693116835713259
2019-Q1,1. Resto país,1222985,12079534,10.124438575196692
2019-Q1,2. NOA-Resto,108444,1107292,9.793622639737306
2019-Q1,3. La Rioja,6684,98604,6.778629670195935
2019-Q2,1. Resto país,1322558,12283001,10.767384941188233
2019-Q2,2. NOA-Resto,108128,1130744,9.562553504595204
2019-Q2,3. La Rioja,7207,97541,7.388687833833978
2019-Q3,1. Resto país,1181526,11973154,9.868126643990381
2019-Q3,2. NOA-Resto,100326,1154646,8.688896856698937
