jurisdiccion,fecha,puestos_miles
Buenos Aires,2009-01-01,1750.673
C.A.B.A.,2009-01-01,1470.713
Catamarca,2009-01-01,30.535
Chaco,2009-01-01,61.076
Chubut,2009-01-01,92.661
Corrientes,2009-01-01,63.922
Córdoba,2009-01-01,452.368
Entre Ríos,2009-01-01,121.004
Formosa,2009-01-01,20.974
Jujuy,2009-01-01,48.019
La Pampa,2009-01-01,35.679
La Rioja,2009-01-01,27.356
Mendoza,2009-01-01,223.035
Misiones,2009-01-01,85.276
Neuquén,2009-01-01,90.962
Río Negro,2009-01-01,98.535
Salta,2009-01-01,98.436
San Juan,2009-01-01,73.21
San Luis,2009-01-01,51.704
Santa Cruz,2009-01-01,53.922
Santa Fe,2009-01-01,457.993
Santiago del Estero,2009-01-01,43.075
Tierra del Fuego,2009-01-01,27.441
Tucumán,2009-01-01,144.01
Buenos Aires,2009-02-01,1743.217
C.A.B.A.,2009-02-01,1467.91
Catamarca,2009-02-01,30.483
Chaco,2009-02-01,61.333
Chubut,2009-02-01,92.295
Corrientes,2009-02-01,64.177
Córdoba,2009-02-01,453.011
Entre Ríos,2009-02-01,121.278
Formosa,2009-02-01,21.07
Jujuy,2009-02-01,48.488
La Pampa,2009-02-01,35.649
La Rioja,2009-02-01,25.881
Mendoza,2009-02-01,223.272
Misiones,2009-02-01,85.314
Neuquén,2009-02-01,90.315
Río Negro,2009-02-01,97.662
Salta,2009-02-01,98.649
San Juan,2009-02-01,73.051
San Luis,2009-02-01,51.147
Santa Cruz,2009-02-01,53.773
Santa Fe,2009-02-01,455.577
Santiago del Estero,2009-02-01,43.069
Tierra del Fuego,2009-02-01,26.87
Tucumán,2009-02-01,145.614
Buenos Aires,2009-03-01,1738.883
C.A.B.A.,2009-03-01,1461.578
Catamarca,2009-03-01,30.928
Chaco,2009-03-01,61.735
Chubut,2009-03-01,92.156
Corrientes,2009-03-01,64.679
Córdoba,2009-03-01,451.863
Entre Ríos,2009-03-01,121.298
Formosa,2009-03-01,21.081
Jujuy,2009-03-01,48.737
La Pampa,2009-03-01,35.47
La Rioja,2009-03-01,25.272
Mendoza,2009-03-01,221.241
Misiones,2009-03-01,84.816
Neuquén,2009-03-01,88.779
Río Negro,2009-03-01,96.527
Salta,2009-03-01,99.218
San Juan,2009-03-01,73.524
San Luis,2009-03-01,50.98
Santa Cruz,2009-03-01,53.305
Santa Fe,2009-03-01,453.775
Santiago del Estero,2009-03-01,42.883
Tierra del Fuego,2009-03-01,26.441
Tucumán,2009-03-01,147.195
Buenos Aires,2009-04-01,1737.01
C.A.B.A.,2009-04-01,1457.786
Catamarca,2009-04-01,30.242
Chaco,2009-04-01,61.844
Chubut,2009-04-01,91.679
Corrientes,2009-04-01,64.165
Córdoba,2009-04-01,450.433
Entre Ríos,2009-04-01,121.558
Formosa,2009-04-01,21.154
Jujuy,2009-04-01,49.086
La Pampa,2009-04-01,35.485
La Rioja,2009-04-01,25.039
Mendoza,2009-04-01,216.942
Misiones,2009-04-01,85.211
Neuquén,2009-04-01,87.285
Río Negro,2009-04-01,92.297
Salta,2009-04-01,100.397
San Juan,2009-04-01,73.23
San Luis,2009-04-01,51.056
Santa Cruz,2009-04-01,53.175
Santa Fe,2009-04-01,451.865
Santiago del Estero,2009-04-01,42.395
Tierra del Fuego,2009-04-01,25.987
Tucumán,2009-04-01,149.612
Buenos Aires,2009-05-01,1736.963
C.A.B.A.,2009-05-01,1455.625
Catamarca,2009-05-01,29.837
Chaco,2009-05-01,61.768
Chubut,2009-05-01,91.304
