fecha,ANO4,TRIMESTRE,la_rioja_region,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000,n_provincias,n_provincias_esperadas,cobertura_completa
2016-Q3,2016,3,1. Resto país,2442034,34814280,6260,70.14460732779767,18,18,TRUE
2016-Q3,2016,3,2. NOA-Resto,374849,4085443,2035,91.75235096903812,5,5,TRUE
2016-Q3,2016,3,3. La Rioja,51307,318423,599,161.12843607402732,1,1,TRUE
2017-Q3,2017,3,1. Resto país,2441794,35199371,6146,69.3703873287963,18,18,TRUE
2017-Q3,2017,3,2. NOA-Resto,402566,4143681,2104,97.1517836435768,5,5,TRUE
2017-Q3,2017,3,3. La Rioja,52623,323362,553,162.73711815241123,1,1,TRUE
2018-Q3,2018,3,1. Resto país,2417958,35599016,5893,67.92204593520225,18,18,TRUE
2018-Q3,2018,3,2. NOA-Resto,393886,4201559,2082,93.74758274250105,5,5,TRUE
2018-Q3,2018,3,3. La Rioja,58035,328307,571,176.77052271197385,1,1,TRUE
2019-Q3,2019,3,1. Resto país,2511576,35224547,5789,71.30186798427812,17,18,FALSE
2019-Q3,2019,3,2. NOA-Resto,386809,4268989,1946,90.60904115705146,5,5,TRUE
2019-Q3,2019,3,3. La Rioja,59938,339263,575,176.67119609270685,1,1,TRUE
2020-Q3,2020,3,1. Resto país,2724803,36432966,4511,74.78949147318941,17,18,FALSE
2020-Q3,2020,3,2. NOA-Resto,300317,3622831,1126,82.89566916038866,4,5,FALSE
2020-Q3,2020,3,3. La Rioja,60053,344195,500,174.47377213498163,1,1,TRUE
2021-Q3,2021,3,1. Resto país,2968531,36961447,5385,80.3142528483801,18,18,TRUE
2021-Q3,2021,3,2. NOA-Resto,404271,4382890,1954,92.2384545357059,5,5,TRUE
2021-Q3,2021,3,3. La Rioja,67241,349161,589,192.57878170815184,1,1,TRUE
2022-Q3,2022,3,1. Resto país,2918820,37439310,5574,77.9613726855543,18,18,TRUE
2022-Q3,2022,3,2. NOA-Resto,428675,4473159,1837,95.83272134972175,5,5,TRUE
2022-Q3,2022,3,3. La Rioja,69812,355587,562,196.32888716404142,1,1,TRUE
2023-Q3,2023,3,1. Resto país,3279115,37673828,5717,87.03960213440482,18,18,TRUE
2023-Q3,2023,3,2. NOA-Resto,451742,4495130,1834,100.49586997483944,5,5,TRUE
2023-Q3,2023,3,3. La Rioja,73053,359105,573,203.4307514515253,1,1,TRUE
2024-Q3,2024,3,1. Resto país,3053197,38022375,5357,80.30000756133724,18,18,TRUE
2024-Q3,2024,3,2. NOA-Resto,425658,4550457,1726,93.54181349257888,5,5,TRUE
2024-Q3,2024,3,3. La Rioja,74983,364082,541,205.9508572244714,1,1,TRUE
2025-Q3,2025,3,1. Resto país,2771856,38363730,4708,72.25199426645949,18,18,TRUE
2025-Q3,2025,3,2. NOA-Resto,371116,4604736,1573,80.59441409887559,5,5,TRUE
2025-Q3,2025,3,3. La Rioja,73064,368904,515,198.05694706481904,1,1,TRUE
