fecha,ANO4,TRIMESTRE,provincia,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000
2016-Q3,2016,3,Buenos Aires,927350,16278487,967,56.967825081041006
2016-Q3,2016,3,C.A.B.A.,282442,2920833,220,96.69912658477907
2016-Q3,2016,3,Catamarca,49335,311950,571,158.15034460650745
2016-Q3,2016,3,Chaco,101106,948621,306,106.58208072560063
2016-Q3,2016,3,Chubut,52672,522989,395,100.71339932579843
2016-Q3,2016,3,Corrientes,84669,901034,293,93.96870706321847
2016-Q3,2016,3,Córdoba,162890,3219241,347,50.598883401398034
2016-Q3,2016,3,Entre Ríos,102267,1053071,422,97.11311013217532
2016-Q3,2016,3,Formosa,41336,476403,267,86.76687594326653
2016-Q3,2016,3,Jujuy,78095,643014,418,121.45147695073513
2016-Q3,2016,3,La Pampa,30265,293856,258,102.99262223674181
2016-Q3,2016,3,La Rioja,51307,318423,599,161.12843607402732
2016-Q3,2016,3,Mendoza,113477,1484490,283,76.44174093459706
2016-Q3,2016,3,Misiones,90901,904487,304,100.50006246634833
2016-Q3,2016,3,Neuquén,68045,564794,335,120.47755464824343
2016-Q3,2016,3,Río Negro,54930,611651,352,89.80611492501443
2016-Q3,2016,3,Salta,77871,1188043,334,65.5456073559627
2016-Q3,2016,3,San Juan,54710,630487,288,86.7741920134753
2016-Q3,2016,3,San Luis,35690,421243,298,84.72544350885356
2016-Q3,2016,3,Santa Cruz,55765,317334,406,175.72967283682178
2016-Q3,2016,3,Santa Fe,161977,3115213,329,51.99548152887138
2016-Q3,2016,3,Santiago del Estero,70387,653596,348,107.69190753921383
2016-Q3,2016,3,Tierra del Fuego,21542,150046,190,143.56930541300667
2016-Q3,2016,3,Tucumán,99161,1288840,364,76.93817696533317
2017-Q3,2017,3,Buenos Aires,937528,16455757,951,56.97264489260506
2017-Q3,2017,3,C.A.B.A.,257173,2932693,213,87.69175634817555
2017-Q3,2017,3,Catamarca,48840,315920,551,154.59610027855155
2017-Q3,2017,3,Chaco,99808,959571,288,104.01314754197449
2017-Q3,2017,3,Chubut,50370,533286,386,94.45213262677062
2017-Q3,2017,3,Corrientes,89644,911259,307,98.37378835215894
2017-Q3,2017,3,Córdoba,147505,3258061,303,45.27386074109724
2017-Q3,2017,3,Entre Ríos,107659,1065686,453,101.02319069594608
2017-Q3,2017,3,Formosa,48324,481655,276,100.32907371458825
2017-Q3,2017,3,Jujuy,77951,651178,427,119.70766825660571
2017-Q3,2017,3,La Pampa,27255,297369,235,91.6538038598509
2017-Q3,2017,3,La Rioja,52623,323362,553,162.73711815241123
2017-Q3,2017,3,Mendoza,102397,1502592,255,68.14690880824602
2017-Q3,2017,3,Misiones,89664,919502,290,97.51365413017047
2017-Q3,2017,3,Neuquén,74579,572506,344,130.267630382913
2017-Q3,2017,3,Río Negro,65434,621623,377,105.26315789473684
2017-Q3,2017,3,Salta,97371,1206733,407,80.68976318705133
2017-Q3,2017,3,San Juan,54784,638151,307,85.84802029613681
2017-Q3,2017,3,San Luis,34591,426953,275,81.01828538504238
2017-Q3,2017,3,Santa Cruz,59203,326567,381,181.28898510872196
2017-Q3,2017,3,Santa Fe,175431,3142078,344,55.8327960031546
2017-Q3,2017,3,Santiago del Estero,78068,663521,372,117.65716533463146
2017-Q3,2017,3,Tierra del Fuego,20445,154062,161,132.70631304280096
2017-Q3,2017,3,Tucumán,100336,1306329,347,76.80760359756233
2018-Q3,2018,3,Buenos Aires,912618,16627804,892,54.88505878467175
2018-Q3,2018,3,C.A.B.A.,236845,2944678,173,80.43154463747818
2018-Q3,2018,3,Catamarca,49798,319657,535,155.7857328323797
2018-Q3,2018,3,Chaco,93681,970521,279,96.52650483606229
2018-Q3,2018,3,Chubut,48935,543468,349,90.0420999948479
2018-Q3,2018,3,Corrientes,95787,921493,292,103.9476154458037
2018-Q3,2018,3,Córdoba,158394,3296689,282,48.04638836117086
2018-Q3,2018,3,Entre Ríos,98364,1078698,394,91.18770962771787
2018-Q3,2018,3,Formosa,48229,486872,258,99.05889022165991
2018-Q3,2018,3,Jujuy,82951,659540,465,125.77099190344786
2018-Q3,2018,3,La Pampa,27887,300873,198,92.68694764900805
2018-Q3,2018,3,La Rioja,58035,328307,571,176.77052271197385
2018-Q3,2018,3,Mendoza,116565,1520477,287,76.6634418014873
2018-Q3,2018,3,Misiones,71474,934553,248,76.47934360063046
2018-Q3,2018,3,Neuquén,72665,580153,333,125.25144229194713
2018-Q3,2018,3,Río Negro,60452,648415,405,93.23041570599077
2018-Q3,2018,3,Salta,93839,1224911,391,76.60883117222394
2018-Q3,2018,3,San Juan,55693,645289,292,86.30706551638103
2018-Q3,2018,3,San Luis,55708,432692,420,128.74746933153375
2018-Q3,2018,3,Santa Cruz,62864,335439,307,187.40814276217137
2018-Q3,2018,3,Santa Fe,182041,3173167,327,57.36886838921494
2018-Q3,2018,3,Santiago del Estero,72803,673578,373,108.08399324205956
2018-Q3,2018,3,Tierra del Fuego,19756,157735,157,125.24804260310013
2018-Q3,2018,3,Tucumán,94495,1323873,318,71.3776925732302
2019-Q3,2019,3,Buenos Aires,1022939,16800733,938,60.88656965145509
2019-Q3,2019,3,C.A.B.A.,252887,2997776,181,84.35820421539168
2019-Q3,2019,3,Catamarca,47116,323667,483,145.569366045967
2019-Q3,2019,3,Chubut,54950,557330,367,98.59508729119193
2019-Q3,2019,3,Corrientes,96912,931431,290,104.04635448036409
2019-Q3,2019,3,Córdoba,151181,3334966,267,45.33209633921305
2019-Q3,2019,3,Entre Ríos,92959,1198810,463,77.54272987379152
2019-Q3,2019,3,Formosa,40394,491879,209,82.12182264337368
2019-Q3,2019,3,Jujuy,81017,667688,433,121.33960772097147
2019-Q3,2019,3,La Pampa,25558,304410,187,83.95913406261292
2019-Q3,2019,3,La Rioja,59938,339263,575,176.67119609270685
2019-Q3,2019,3,Mendoza,111399,1601428,246,69.56229065558989
2019-Q3,2019,3,Misiones,93754,949456,283,98.7449655381608
2019-Q3,2019,3,Neuquén,75921,587483,328,129.23097349199892
2019-Q3,2019,3,Río Negro,69099,649128,435,106.44895921913705
2019-Q3,2019,3,Salta,89205,1243371,359,71.74447530141848
2019-Q3,2019,3,San Juan,58946,670291,308,87.94090924687934
2019-Q3,2019,3,San Luis,62046,438538,441,141.48374827266963
2019-Q3,2019,3,Santa Cruz,57749,344794,341,167.48841337146237
2019-Q3,2019,3,Santa Fe,226086,3204351,376,70.55594096901369
2019-Q3,2019,3,Santiago del Estero,71715,692906,352,103.49888729495775
2019-Q3,2019,3,Tierra del Fuego,18796,161743,129,116.20904768676233
2019-Q3,2019,3,Tucumán,97756,1341357,319,72.87843579300663
2020-Q3,2020,3,Buenos Aires,1181845,16975154,572,69.62204878966047
2020-Q3,2020,3,C.A.B.A.,272488,3000320,89,90.81964590443685
2020-Q3,2020,3,Catamarca,51880,327373,311,158.4736676512724
2020-Q3,2020,3,Chaco,96783,1014396,195,95.4094850531745
2020-Q3,2020,3,Chubut,52411,567208,348,92.4017291716619
2020-Q3,2020,3,Corrientes,86156,941274,264,91.53126507265685
2020-Q3,2020,3,Córdoba,156003,3373714,139,46.24073054206729
2020-Q3,2020,3,Entre Ríos,96037,1212983,291,79.17423409891153
2020-Q3,2020,3,Formosa,35259,496924,189,70.95451215880094
2020-Q3,2020,3,Jujuy,67162,675790,393,99.38294440580654
2020-Q3,2020,3,La Pampa,27016,307885,140,87.74704841093265
2020-Q3,2020,3,La Rioja,60053,344195,500,174.47377213498163
2020-Q3,2020,3,Mendoza,115377,1620204,259,71.21140300851003
2020-Q3,2020,3,Misiones,83859,963908,258,86.99896670636616
2020-Q3,2020,3,Neuquén,68932,594658,273,115.91872975727225
2020-Q3,2020,3,Río Negro,76214,660281,356,115.42661382047946
2020-Q3,2020,3,Salta,97737,1261399,272,77.48301687253597
2020-Q3,2020,3,San Juan,61537,680771,272,90.39309841341655
2020-Q3,2020,3,San Luis,60002,444130,406,135.10008330894107
2020-Q3,2020,3,Santa Cruz,50661,353788,146,143.19592524336608
2020-Q3,2020,3,Santa Fe,204223,3225368,314,63.31773614669706
