tipo,serie,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
agregado,1. Resto país,2016,3,Adm. pública y defensa,1118198,2442034,0.4578961636078777,2905
agregado,1. Resto país,2016,3,Enseñanza,713686,2442034,0.2922506402449761,1943
agregado,1. Resto país,2016,3,Salud y asistencia social,308721,2442034,0.12641961577930527,675
agregado,1. Resto país,2016,3,"Electricidad, gas y agua",21181,2442034,0.008673507412263711,61
agregado,1. Resto país,2016,3,Transporte,50985,2442034,0.02087808769247275,104
agregado,1. Resto país,2016,3,Finanzas y seguros,20480,2442034,0.00838645162188569,57
agregado,1. Resto país,2016,3,Construcción,26206,2442034,0.010731218320465644,102
agregado,1. Resto país,2016,3,Servicios de seguridad / edificios,24064,2442034,0.009854080655715686,59
agregado,1. Resto país,2016,3,Otros,143704,2442034,0.05884602753278619,326
agregado,1. Resto país,2016,3,Sin clasificar / NsNr,14809,2442034,0.00606420713225123,28
agregado,2. NOA-Resto,2016,3,Adm. pública y defensa,173654,374849,0.463263874253366,955
agregado,2. NOA-Resto,2016,3,Enseñanza,127723,374849,0.3407318680321943,692
agregado,2. NOA-Resto,2016,3,Salud y asistencia social,45771,374849,0.12210516768085282,219
agregado,2. NOA-Resto,2016,3,"Electricidad, gas y agua",1638,374849,0.004369759556514757,9
agregado,2. NOA-Resto,2016,3,Transporte,1509,374849,0.004025620983382642,8
agregado,2. NOA-Resto,2016,3,Finanzas y seguros,1901,374849,0.005071375407163951,12
agregado,2. NOA-Resto,2016,3,Construcción,7123,374849,0.019002318266822107,43
agregado,2. NOA-Resto,2016,3,Servicios de seguridad / edificios,3105,374849,0.008283335423063688,22
agregado,2. NOA-Resto,2016,3,Otros,11714,374849,0.031249916633097594,71
agregado,2. NOA-Resto,2016,3,Sin clasificar / NsNr,711,374849,0.0018967637635421196,4
agregado,3. La Rioja,2016,3,Adm. pública y defensa,26674,51307,0.5198900734792523,303
agregado,3. La Rioja,2016,3,Enseñanza,14668,51307,0.28588691601535854,177
agregado,3. La Rioja,2016,3,Salud y asistencia social,5050,51307,0.09842711520845109,65
agregado,3. La Rioja,2016,3,"Electricidad, gas y agua",453,51307,0.008829204591966008,5
agregado,3. La Rioja,2016,3,Transporte,649,51307,0.012649346093125695,6
agregado,3. La Rioja,2016,3,Finanzas y seguros,598,51307,0.011655329682109654,6
agregado,3. La Rioja,2016,3,Construcción,528,51307,0.01029099343169548,6
agregado,3. La Rioja,2016,3,Servicios de seguridad / edificios,581,51307,0.01132399087843764,8
agregado,3. La Rioja,2016,3,Otros,1917,51307,0.03736332274348529,21
agregado,3. La Rioja,2016,3,Sin clasificar / NsNr,189,51307,0.0036837078761182683,2
agregado,1. Resto país,2017,3,Adm. pública y defensa,1110204,2441794,0.45466734704074135,2939
agregado,1. Resto país,2017,3,Enseñanza,722372,2441794,0.2958365857234476,1854
agregado,1. Resto país,2017,3,Salud y asistencia social,283539,2441794,0.11611913208075701,671
agregado,1. Resto país,2017,3,"Electricidad, gas y agua",24970,2441794,0.010226087868182165,82
agregado,1. Resto país,2017,3,Transporte,56145,2441794,0.022993340142534548,95
