fecha,la_rioja_region,formales,asalariados,tasa_inf_aportes
2007-Q1,1. Resto país,4400231,7018902,37.30884118342157
2007-Q1,2. NOA-Resto,292807,561867,47.88677747580833
2007-Q1,3. La Rioja,30813,53911,42.84468846803065
2016-Q2,1. Resto país,5459230,7789509,29.915608288019186
2016-Q2,2. NOA-Resto,443792,712021,37.671501261900985
2016-Q2,3. La Rioja,44856,64817,30.795933165681845
2016-Q3,1. Resto país,5519930,7883605,29.98215917717846
2016-Q3,2. NOA-Resto,433868,707037,38.63574324964606
2016-Q3,3. La Rioja,44269,64855,31.7415773648909
2016-Q4,1. Resto país,NA,7861994,NA
2016-Q4,2. NOA-Resto,440324,711579,38.12015250590588
2016-Q4,3. La Rioja,42648,63826,33.180835396233505
2017-Q1,1. Resto país,5378619,7648686,29.679176266354773
2017-Q1,2. NOA-Resto,423067,688984,38.59552616606482
2017-Q1,3. La Rioja,44812,64355,30.367492813301226
2017-Q2,1. Resto país,5455862,7792941,29.989691953268988
2017-Q2,2. NOA-Resto,426555,701038,39.153797654335435
2017-Q2,3. La Rioja,44534,65610,32.123151958542906
2017-Q3,1. Resto país,5490863,7902200,30.514755384576446
2017-Q3,2. NOA-Resto,451278,739740,38.99505231567848
2017-Q3,3. La Rioja,43659,64485,32.295882763433355
2017-Q4,1. Resto país,5627752,8070416,30.266890826941264
2017-Q4,2. NOA-Resto,473140,761032,37.82915830083361
2017-Q4,3. La Rioja,44898,66008,31.980972003393532
2018-Q1,1. Resto país,5667916,8050184,29.592714899435833
2018-Q1,2. NOA-Resto,436730,719652,39.313723855419
2018-Q1,3. La Rioja,44214,68862,35.793325781998774
2018-Q2,1. Resto país,5540440,7837590,29.3093923004393
2018-Q2,2. NOA-Resto,419154,704639,40.51507225685776
2018-Q2,3. La Rioja,44727,67431,33.66997375094542
2018-Q3,1. Resto país,5564433,7975411,30.230141117492252
2018-Q3,2. NOA-Resto,437457,719284,39.18160281613382
2018-Q3,3. La Rioja,45078,66605,32.32039636663913
2018-Q4,1. Resto país,5540574,7956554,30.36465283840215
2018-Q4,2. NOA-Resto,451781,763142,40.79987734916962
2018-Q4,3. La Rioja,48884,70030,30.195630444095386
2019-Q1,1. Resto país,5654571,8102746,30.214139749660177
2019-Q1,2. NOA-Resto,428698,725264,40.89076529374132
2019-Q1,3. La Rioja,51540,74979,31.260753010843032
2019-Q2,1. Resto país,5815370,8154133,28.681933444058373
2019-Q2,2. NOA-Resto,411095,724775,43.279638508502636
2019-Q2,3. La Rioja,50298,72932,31.034388197224814
2019-Q3,1. Resto país,5527418,7847737,29.566727325342328
2019-Q3,2. NOA-Resto,439446,752515,41.603024524428086
2019-Q3,3. La Rioja,48891,68457,28.581445286822387
2019-Q4,1. Resto país,5598811,8060683,30.541729528378667
2019-Q4,2. NOA-Resto,437988,757701,42.1951402994057
2019-Q4,3. La Rioja,48019,68863,30.268794563118078
2020-Q1,1. Resto país,5628905,8059205,30.15557986178537
2020-Q1,2. NOA-Resto,427733,724577,40.9679026521681
2020-Q1,3. La Rioja,50893,71422,28.743244378482828
2020-Q2,1. Resto país,5458676,6671694,18.181559286142317
2020-Q2,2. NOA-Resto,422248,601912,29.848881564082447
2020-Q2,3. La Rioja,51492,71248,27.728497642039073
2020-Q3,1. Resto país,5318901,6888977,22.791134300491933
2020-Q3,2. NOA-Resto,417085,659591,36.766117184740246
2020-Q3,3. La Rioja,49141,66914,26.56095884269361
2020-Q4,1. Resto país,5322791,7354789,27.62822971535961
2020-Q4,2. NOA-Resto,432032,697673,38.07528741975109
2020-Q4,3. La Rioja,49841,71228,30.026113326220027
2021-Q1,1. Resto país,5728682,7818561,26.729714073983686
2021-Q1,2. NOA-Resto,428702,711297,39.72953632589481
2021-Q1,3. La Rioja,47242,69370,31.89851520830331
2021-Q2,1. Resto país,5821997,7914242,26.436454685110704
2021-Q2,2. NOA-Resto,434210,715394,39.30477471155754
2021-Q2,3. La Rioja,49887,74395,32.94307413132603
2021-Q3,1. Resto país,5951413,8151144,26.986776334708352
2021-Q3,2. NOA-Resto,420568,708054,40.60227044829914
2021-Q3,3. La Rioja,51074,77044,33.708011006697475
2021-Q4,1. Resto país,6076147,8433294,27.950490045763857
2021-Q4,2. NOA-Resto,427062,721621,40.81907261568053
2021-Q4,3. La Rioja,47758,75919,37.09348121023722
2022-Q1,1. Resto país,5885453,8404945,29.97630561532526
2022-Q1,2. NOA-Resto,456861,761646,40.01662189521116
2022-Q1,3. La Rioja,49831,78531,36.54607734525219
2022-Q2,1. Resto país,5893637,8670859,32.02937563625471
2022-Q2,2. NOA-Resto,477771,805659,40.69811173213481
2022-Q2,3. La Rioja,53630,79635,32.65523953035725
2022-Q3,1. Resto país,5831996,8510097,31.46968830085015
2022-Q3,2. NOA-Resto,455140,771240,40.98594471241118
2022-Q3,3. La Rioja,49147,80871,39.22790617155717
2022-Q4,1. Resto país,6149086,8730554,29.56820380470701
2022-Q4,2. NOA-Resto,454180,797645,43.05988252919531
2022-Q4,3. La Rioja,51316,81809,37.27340512657532
2023-Q1,1. Resto país,6135476,8889677,30.98201430715649
2023-Q1,2. NOA-Resto,493361,821587,39.95024264015862
2023-Q1,3. La Rioja,54418,83867,35.11393038978382
2023-Q2,1. Resto país,6105824,8810590,30.699033776398636
2023-Q2,2. NOA-Resto,488802,824881,40.742725314318065
2023-Q2,3. La Rioja,59292,89098,33.45305169588542
2023-Q3,1. Resto país,6434499,9114097,29.400586805253454
2023-Q3,2. NOA-Resto,465502,822216,43.384463449993675
2023-Q3,3. La Rioja,55387,88004,37.063088041452666
2023-Q4,1. Resto país,6397986,9040058,29.226272663294864
2023-Q4,2. NOA-Resto,484087,839351,42.3260352343656
