fecha,la_rioja_region,ocupado,pob_tot,tasa_empleo
2007-Q1,1. Resto país,9213718,21801989,42.26090564489323
2007-Q1,2. NOA-Resto,769065,2127635,36.14647249175728
2007-Q1,3. La Rioja,69148,168426,41.05541899706696
2016-Q2,1. Resto país,10306816,24595514,41.90526776549577
2016-Q2,2. NOA-Resto,950520,2403859,39.541420690647826
2016-Q2,3. La Rioja,80353,201357,39.90573955710504
2016-Q3,1. Resto país,10442164,24660532,42.343628272090804
2016-Q3,2. NOA-Resto,953462,2409690,39.567828226867356
2016-Q3,3. La Rioja,81371,202181,40.24661071020521
2016-Q4,1. Resto país,10424760,24725860,42.161364660319194
2016-Q4,2. NOA-Resto,954607,2415832,39.51462684491306
2016-Q4,3. La Rioja,79883,203138,39.32449861670392
2017-Q1,1. Resto país,10283656,24790882,41.48160601950346
2017-Q1,2. NOA-Resto,962140,2421606,39.73148398211765
2017-Q1,3. La Rioja,82588,204009,40.48252773161968
2017-Q2,1. Resto país,10325375,24854622,41.54307798364425
2017-Q2,2. NOA-Resto,986284,2426815,40.6410871862915
2017-Q2,3. La Rioja,83162,205012,40.564454763623594
2017-Q3,1. Resto país,10601883,24919273,42.544912927435725
2017-Q3,2. NOA-Resto,1009786,2433104,41.50196621270608
2017-Q3,3. La Rioja,81036,205762,39.38336524722738
2017-Q4,1. Resto país,10770028,24982973,43.109472999870754
2017-Q4,2. NOA-Resto,1038856,2438835,42.596403610740374
2017-Q4,3. La Rioja,83520,206692,40.40794999322664
2018-Q1,1. Resto país,10673806,25047647,42.61400681668821
2018-Q1,2. NOA-Resto,990260,2444581,40.508373418594026
2018-Q1,3. La Rioja,84827,207754,40.83050145845568
2018-Q2,1. Resto país,10570253,25109796,42.09613252134744
2018-Q2,2. NOA-Resto,988049,2450134,40.326325009162765
2018-Q2,3. La Rioja,84038,208533,40.299616847213635
2018-Q3,1. Resto país,10740005,25176061,42.65959238023772
2018-Q3,2. NOA-Resto,997946,2456164,40.630267359997134
2018-Q3,3. La Rioja,84073,209291,40.17038477526506
2018-Q4,1. Resto país,10671179,25241988,42.275509361623975
2018-Q4,2. NOA-Resto,1036052,2462008,42.081585437577786
2018-Q4,3. La Rioja,86166,210314,40.97016841484638
2019-Q1,1. Resto país,10856549,25566322,42.46425825349458
2019-Q1,2. NOA-Resto,998848,2477341,40.31935853804543
2019-Q1,3. La Rioja,91920,216968,42.36569448029203
2019-Q2,1. Resto país,10960443,25628706,42.76627544129617
2019-Q2,2. NOA-Resto,1022616,2483502,41.176371108217346
2019-Q2,3. La Rioja,90334,217984,41.44065619495009
2019-Q3,1. Resto país,10791628,25280566,42.68744615923551
2019-Q3,2. NOA-Resto,1054320,2489574,42.349413996129456
2019-Q3,3. La Rioja,87555,218988,39.981642829744096
2019-Q4,1. Resto país,11117149,25753971,43.1667372771368
2019-Q4,2. NOA-Resto,1035276,2494933,41.49514235452415
2019-Q4,3. La Rioja,87694,219814,39.89463819410957
2020-Q1,1. Resto país,10949428,25815742,42.41376443876763
2020-Q1,2. NOA-Resto,1006480,2500855,40.245436060867185
2020-Q1,3. La Rioja,89292,220733,40.452492377668946
2020-Q2,1. Resto país,8633114,25876437,33.36283894107987
2020-Q2,2. NOA-Resto,830510,2506680,33.13187163898064
2020-Q2,3. La Rioja,82456,221660,37.19931426509068
2020-Q3,1. Resto país,9625123,25771546,37.34786807124416
2020-Q3,2. NOA-Resto,947165,2512256,37.70177083864065
2020-Q3,3. La Rioja,85561,222686,38.42226273766649
2020-Q4,1. Resto país,10426627,25998271,40.10507852618353
2020-Q4,2. NOA-Resto,1008576,2517904,40.05617370638436
2020-Q4,3. La Rioja,88446,223489,39.57510213030619
2021-Q1,1. Resto país,10872248,26059100,41.721502277515334
2021-Q1,2. NOA-Resto,1020822,2523552,40.45179176018564
2021-Q1,3. La Rioja,88917,224486,39.6091515729266
2021-Q2,1. Resto país,10864752,26117974,41.59875494171179
2021-Q2,2. NOA-Resto,1018828,2529111,40.28403656462686
2021-Q2,3. La Rioja,97900,225354,43.44276116687523
2021-Q3,1. Resto país,11262708,26178493,43.022751538829986
2021-Q3,2. NOA-Resto,1040559,2534819,41.050623338392214
2021-Q3,3. La Rioja,100271,226249,44.318869917657096
2021-Q4,1. Resto país,11487443,26238762,43.780430646842255
2021-Q4,2. NOA-Resto,1058828,2540458,41.67862645239559
2021-Q4,3. La Rioja,97311,227148,42.84035078451054
2022-Q1,1. Resto país,11413362,26299032,43.39841101375899
2022-Q1,2. NOA-Resto,1071886,2546124,42.098735175505986
2022-Q1,3. La Rioja,98729,228059,43.290990489303205
2022-Q2,1. Resto país,11781170,26356827,44.69874162015026
2022-Q2,2. NOA-Resto,1111706,2551496,43.57075221752258
2022-Q2,3. La Rioja,100389,228889,43.85925055376187
2022-Q3,1. Resto país,11756854,26416766,44.50527365840315
2022-Q3,2. NOA-Resto,1064648,2557179,41.633690875765836
2022-Q3,3. La Rioja,100599,229865,43.764383442455355
2022-Q4,1. Resto país,11856402,26475909,44.78185054949388
2022-Q4,2. NOA-Resto,1102379,2562725,43.01589128759426
2022-Q4,3. La Rioja,102321,230687,44.35490513119508
2023-Q1,1. Resto país,11972989,26535131,45.1212733790536
2023-Q1,2. NOA-Resto,1117305,2568380,43.50232442239855
2023-Q1,3. La Rioja,101067,231644,43.63031203052961
2023-Q2,1. Resto país,11879184,26592646,44.670936468676345
2023-Q2,2. NOA-Resto,1125416,2573716,43.72727993298406
2023-Q2,3. La Rioja,103039,232491,44.31956505843237
2023-Q3,1. Resto país,12131650,26651235,45.520029371997204
2023-Q3,2. NOA-Resto,1157445,2579179,44.87648976670483
2023-Q3,3. La Rioja,107107,233405,45.88890555043808
2023-Q4,1. Resto país,12240853,26709576,45.82945457464394
2023-Q4,2. NOA-Resto,1170149,2584731,45.27159692826836
2023-Q4,3. La Rioja,106935,234303,45.63962049141496
2024-Q1,1. Resto país,11897954,26767867,44.44864433912497
2024-Q1,2. NOA-Resto,1113774,2590164,43.000134354426976
2024-Q1,3. La Rioja,102200,235183,43.4555218702032
2024-Q2,1. Resto país,12063271,26824832,44.97053700094003
2024-Q2,2. NOA-Resto,1133860,2595440,43.686619609777146
2024-Q2,3. La Rioja,100770,236070,42.686491294954884
2024-Q3,1. Resto país,12130693,26882224,45.12533263616879
2024-Q3,2. NOA-Resto,1133202,2600990,43.56810291465942
2024-Q3,3. La Rioja,104145,236931,43.95583524317207
2024-Q4,1. Resto país,12337339,26939516,45.79643895606736
2024-Q4,2. NOA-Resto,1150470,2606262,44.142530566765736
2024-Q4,3. La Rioja,108675,237795,45.70112912382515
2025-Q1,1. Resto país,12020815,26996713,44.52695778186033
2025-Q1,2. NOA-Resto,1133345,2611789,43.393436452944705
2025-Q1,3. La Rioja,104649,238676,43.84563173507181
