fecha,la_rioja_region,mayor_25_superior,pob_tot,porc_mayor_25_superior
2007-Q1,1. Resto país,3187542,21801989,14.62041834806907
2007-Q1,2. NOA-Resto,304124,2127635,14.293993095620255
2007-Q1,3. La Rioja,20960,168426,12.444634438863359
2016-Q2,1. Resto país,4337187,24595514,17.634057169937574
2016-Q2,2. NOA-Resto,405572,2403859,16.87170503760828
2016-Q2,3. La Rioja,34436,201357,17.10196317982489
2016-Q3,1. Resto país,4449733,24660532,18.043945686167678
2016-Q3,2. NOA-Resto,400331,2409690,16.613381804298477
2016-Q3,3. La Rioja,34404,202181,17.0164357679505
2016-Q4,1. Resto país,4505837,24725860,18.223176059396923
2016-Q4,2. NOA-Resto,423290,2415832,17.521499839392806
2016-Q4,3. La Rioja,31681,203138,15.595801868680404
2017-Q1,1. Resto país,4457880,24790882,17.981933841643873
2017-Q1,2. NOA-Resto,401340,2421606,16.57329887686106
2017-Q1,3. La Rioja,33622,204009,16.480645461719824
2017-Q2,1. Resto país,4380886,24854622,17.626041546719158
2017-Q2,2. NOA-Resto,426152,2426815,17.560135403811167
2017-Q2,3. La Rioja,36723,205012,17.91260999356135
2017-Q3,1. Resto país,4609222,24919273,18.496615049724767
2017-Q3,2. NOA-Resto,436663,2433104,17.946746213889746
2017-Q3,3. La Rioja,37488,205762,18.219107512563056
2017-Q4,1. Resto país,4748964,24982973,19.008802515217063
2017-Q4,2. NOA-Resto,446689,2438835,18.315671211869603
2017-Q4,3. La Rioja,34019,206692,16.45878892264819
2018-Q1,1. Resto país,4799592,25047647,19.16184781748162
2018-Q1,2. NOA-Resto,434992,2444581,17.79413322773923
2018-Q1,3. La Rioja,33295,207754,16.026165561192567
2018-Q2,1. Resto país,4750295,25109796,18.918094754732376
2018-Q2,2. NOA-Resto,433125,2450134,17.67760457183158
2018-Q2,3. La Rioja,33420,208533,16.026240451151615
2018-Q3,1. Resto país,4782356,25176061,18.995648286679952
2018-Q3,2. NOA-Resto,446663,2456164,18.185389900674384
2018-Q3,3. La Rioja,35543,209291,16.98257450153136
2018-Q4,1. Resto país,4927561,25241988,19.52128730906615
2018-Q4,2. NOA-Resto,442547,2462008,17.975043135521897
2018-Q4,3. La Rioja,39443,210314,18.75433875063001
2019-Q1,1. Resto país,5009721,25566322,19.595000798315848
2019-Q1,2. NOA-Resto,428567,2477341,17.299475526380906
2019-Q1,3. La Rioja,41420,216968,19.090372773865273
2019-Q2,1. Resto país,5180980,25628706,20.2155348771803
2019-Q2,2. NOA-Resto,458123,2483502,18.446653153490512
2019-Q2,3. La Rioja,36501,217984,16.744806958308867
2019-Q3,1. Resto país,5119940,25280566,20.252473777683615
2019-Q3,2. NOA-Resto,480103,2489574,19.284544263396068
2019-Q3,3. La Rioja,34988,218988,15.977131167004584
2019-Q4,1. Resto país,5275212,25753971,20.48310142152447
2019-Q4,2. NOA-Resto,464011,2494933,18.59813469940876
2019-Q4,3. La Rioja,36596,219814,16.648621106935867
2020-Q1,1. Resto país,5113898,25815742,19.80922338006012
2020-Q1,2. NOA-Resto,457936,2500855,18.311177577268577
2020-Q1,3. La Rioja,38100,220733,17.26067239606221
2020-Q2,1. Resto país,4918543,25876437,19.007806213815297
2020-Q2,2. NOA-Resto,517577,2506680,20.647908787719214
2020-Q2,3. La Rioja,35885,221660,16.189208698005956
2020-Q3,1. Resto país,5132516,25771546,19.915436970680766
2020-Q3,2. NOA-Resto,465795,2512256,18.540905066999542
2020-Q3,3. La Rioja,38471,222686,17.27589520670361
2020-Q4,1. Resto país,5074274,25998271,19.517736391008462
2020-Q4,2. NOA-Resto,483943,2517904,19.22007352146865
2020-Q4,3. La Rioja,41065,223489,18.37450612781837
2021-Q1,1. Resto país,5556027,26059100,21.320870636361196
2021-Q1,2. NOA-Resto,477762,2523552,18.93212424392285
2021-Q1,3. La Rioja,38756,224486,17.264328287732866
2021-Q2,1. Resto país,5675534,26117974,21.730376176957677
2021-Q2,2. NOA-Resto,480813,2529111,19.011146604478807
2021-Q2,3. La Rioja,39768,225354,17.646902207194014
2021-Q3,1. Resto país,5812155,26178493,22.202022858993452
2021-Q3,2. NOA-Resto,475059,2534819,18.741338138936154
2021-Q3,3. La Rioja,45087,226249,19.928043880856933
2021-Q4,1. Resto país,5577276,26238762,21.255865654027428
2021-Q4,2. NOA-Resto,466004,2540458,18.34330660062083
2021-Q4,3. La Rioja,39521,227148,17.39878845510416
2022-Q1,1. Resto país,5559410,26299032,21.139219116505885
2022-Q1,2. NOA-Resto,483921,2546124,19.00618351659228
2022-Q1,3. La Rioja,44775,228059,19.63307740540825
2022-Q2,1. Resto país,5521043,26356827,20.94729763943133
2022-Q2,2. NOA-Resto,526839,2551496,20.648239307449433
2022-Q2,3. La Rioja,48119,228889,21.022853872401033
2022-Q3,1. Resto país,5490474,26416766,20.78405055334934
2022-Q3,2. NOA-Resto,502357,2557179,19.644968146539604
2022-Q3,3. La Rioja,47040,229865,20.464185500184893
2022-Q4,1. Resto país,5585139,26475909,21.09517372944589
2022-Q4,2. NOA-Resto,479105,2562725,18.69513896340809
2022-Q4,3. La Rioja,41642,230687,18.05129894619116
2023-Q1,1. Resto país,5342370,26535131,20.133196252168492
2023-Q1,2. NOA-Resto,494813,2568380,19.26556817916352
2023-Q1,3. La Rioja,40271,231644,17.38486643297474
2023-Q2,1. Resto país,5466715,26592646,20.557243532666888
2023-Q2,2. NOA-Resto,544184,2573716,21.143902435233723
2023-Q2,3. La Rioja,43438,232491,18.683733994004072
2023-Q3,1. Resto país,5710606,26651235,21.427172136675843
2023-Q3,2. NOA-Resto,523473,2579179,20.296109731042318
2023-Q3,3. La Rioja,43521,233405,18.646130117178295
2023-Q4,1. Resto país,5713611,26709576,21.391619994267224
2023-Q4,2. NOA-Resto,505893,2584731,19.572365557576397
2023-Q4,3. La Rioja,43877,234303,18.726606146741613
2024-Q1,1. Resto país,5619570,26767867,20.99371608503584
2024-Q1,2. NOA-Resto,494416,2590164,19.08821217498197
2024-Q1,3. La Rioja,44907,235183,19.094492374023634
2024-Q2,1. Resto país,5774305,26824832,21.525968923123173
2024-Q2,2. NOA-Resto,510553,2595440,19.67115402398052
2024-Q2,3. La Rioja,38382,236070,16.25873681535138
2024-Q3,1. Resto país,5985920,26882224,22.267205272897066
2024-Q3,2. NOA-Resto,545125,2600990,20.958365853002125
2024-Q3,3. La Rioja,41317,236931,17.43841033887503
2024-Q4,1. Resto país,6052542,26939516,22.467151971104453
2024-Q4,2. NOA-Resto,532367,2606262,20.426457508876698
2024-Q4,3. La Rioja,51914,237795,21.83140940726256
2025-Q1,1. Resto país,5713076,26996713,21.162117032543925
2025-Q1,2. NOA-Resto,522744,2611789,20.014786799393057
2025-Q1,3. La Rioja,52423,238676,21.964085203371937
2025-Q2,1. Resto país,5634723,27052274,20.82901792285558
2025-Q2,2. NOA-Resto,522121,2617068,19.950608849292415
2025-Q2,3. La Rioja,44932,239527,18.75863681338638
2025-Q3,1. Resto país,5797305,27107723,21.386174707480965
2025-Q3,2. NOA-Resto,549302,2622347,20.94696087131108
2025-Q3,3. La Rioja,45398,240386,18.885459219754893
2025-Q4,1. Resto país,5787195,27163889,21.304736593497346
2025-Q4,2. NOA-Resto,567622,2627639,21.601978049496147
2025-Q4,3. La Rioja,54439,241217,22.568475687866112
