fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2007-Q1,1. Resto país,2334852,1834178,145090,209630,120027,281627,21801989,10.709353169566318,8.412892970453292,0.6654897404085471,0.9615177771165742,0.5505323390448459,1.2917491151839404
2007-Q1,2. NOA-Resto,347233,271192,19257,87331,10445,35113,2127635,16.320139497611198,12.746171218277572,0.9050894537831912,4.104604408180915,0.4909206701337401,1.6503300613122083
2007-Q1,3. La Rioja,22170,16807,1718,2275,748,2070,168426,13.163050835381709,9.978863120895824,1.0200325365442389,1.3507415719663236,0.4441119542113451,1.2290263973495779
2007-Q2,1. Resto país,1901638,1662335,153882,256291,0,0,1901638,100,87.4159540354158,8.092076409916082,13.477381078838349,0,0
2007-Q2,2. NOA-Resto,310890,258126,18231,90221,0,0,310890,100,83.02808067162019,5.864132008105761,29.020232236482357,0,0
2007-Q2,3. La Rioja,24787,22380,210,2197,0,0,24787,100,90.28926453382822,0.8472182999152781,8.863517166256505,0,0
2008-Q1,1. Resto país,1789060,1579487,130454,199419,0,0,1789060,100,88.28585961342829,7.291762154427464,11.1465797681464,0,0
2008-Q1,2. NOA-Resto,322050,244612,21765,100144,0,0,322050,100,75.9546654246235,6.758267349790405,31.095792578792114,0,0
2008-Q1,3. La Rioja,21094,19125,1025,944,0,0,21094,100,90.6655921115009,4.859201668720963,4.475206219778136,0,0
2008-Q2,1. Resto país,1692841,1495152,163106,185144,0,0,1692841,100,88.3220574170876,9.63504546499051,10.936880663925319,0,0
2008-Q2,2. NOA-Resto,320383,246225,29001,98121,0,0,320383,100,76.8533286722454,9.051978413336538,30.62615681855779,0,0
2008-Q2,3. La Rioja,24253,22579,1109,565,0,0,24253,100,93.09776110171939,4.572630190079577,2.329608708201047,0,0
2008-Q3,1. Resto país,1840014,1629546,159231,186687,0,0,1840014,100,88.56160877036805,8.65379285157613,10.145955411208828,0,0
