anio,fecha,la_rioja_region,exportaciones_millones_usd,indice_2015,share_nacional_pct,total_nacional_millones_usd,provisorio
1993,1993-01-01,1. Resto país,12059.05,23.52550706289993,96.04631549335576,12555.453,FALSE
1993,1993-01-01,2. NOA-Resto,449.791,14.24749966898766,3.582435456530322,12555.453,FALSE
1993,1993-01-01,3. La Rioja,46.612,20.145476862436627,0.3712490501139226,12555.453,FALSE
1994,1994-01-01,1. Resto país,14571.481,28.42690586591914,95.54268829143368,15251.278,FALSE
1994,1994-01-01,2. NOA-Resto,609.91,19.319400617425124,3.999074700493952,15251.278,FALSE
1994,1994-01-01,3. La Rioja,69.887,30.204817246312295,0.45823700807237266,15251.278,FALSE
1995,1995-01-01,1. Resto país,19059.659,37.18270862306436,94.60838698997236,20145.845,FALSE
1995,1995-01-01,2. NOA-Resto,950.163,30.09719409233249,4.716421674047427,20145.845,FALSE
1995,1995-01-01,3. La Rioja,136.023,58.78847076416411,0.6751913359801983,20145.845,FALSE
1996,1996-01-01,1. Resto país,21703.555,42.3405771136646,94.8267462696375,22887.588,FALSE
1996,1996-01-01,2. NOA-Resto,1069.727,33.88448207813666,4.67383020001933,22887.588,FALSE
1996,1996-01-01,3. La Rioja,114.306,49.40249030802543,0.49942353034317116,22887.588,FALSE
1997,1997-01-01,1. Resto país,23878.977,46.58451885250703,94.54175729616094,25257.597999999998,FALSE
1997,1997-01-01,2. NOA-Resto,1232.974,39.05546499789989,4.881596421005671,25257.597999999998,FALSE
1997,1997-01-01,3. La Rioja,145.647,62.94791617144313,0.5766462828333874,25257.597999999998,FALSE
1998,1998-01-01,1. Resto país,23884.23,46.59476671519949,93.47113683782018,25552.519,FALSE
1998,1998-01-01,2. NOA-Resto,1544.797,48.9327148523495,6.045576171961755,25552.519,FALSE
1998,1998-01-01,3. La Rioja,123.492,53.372634272205104,0.48328699021806815,25552.519,FALSE
1999,1999-01-01,1. Resto país,20963.971,40.89775295955563,93.38354985289308,22449.319000000003,FALSE
1999,1999-01-01,2. NOA-Resto,1367.401,43.31355072661168,6.091057817834028,22449.319000000003,FALSE
1999,1999-01-01,3. La Rioja,117.947,50.976112578173286,0.5253923292728835,22449.319000000003,FALSE
2000,2000-01-01,1. Resto país,23654.595,46.14678119275875,94.19674406993369,25111.903000000002,FALSE
2000,2000-01-01,2. NOA-Resto,1307.681,41.42187063467578,5.207414985634501,25111.903000000002,FALSE
2000,2000-01-01,3. La Rioja,149.627,64.66805257220899,0.5958409444318099,25111.903000000002,FALSE
2001,2001-01-01,1. Resto país,23802.893,46.43608969105786,93.77605564231193,25382.698,FALSE
2001,2001-01-01,2. NOA-Resto,1414.557,44.80725579049865,5.572918213816357,25382.698,FALSE
2001,2001-01-01,3. La Rioja,165.248,71.41937184767716,0.6510261438717034,25382.698,FALSE
2002,2002-01-01,1. Resto país,22941.137,44.75492518270136,93.03627196585389,24658.271999999997,FALSE
2002,2002-01-01,2. NOA-Resto,1582.12,50.11495155816536,6.416183583342742,24658.271999999997,FALSE
