jurisdiccion,fecha,anio,exportaciones_millones_usd,provisorio
Buenos Aires,1993-01-01,1993,5198.553,FALSE
C.A.B.A.,1993-01-01,1993,189.656,FALSE
Catamarca,1993-01-01,1993,11.542,FALSE
Chaco,1993-01-01,1993,152.621,FALSE
Chubut,1993-01-01,1993,396.095,FALSE
Corrientes,1993-01-01,1993,65.877,FALSE
Córdoba,1993-01-01,1993,1398.998,FALSE
Entre Ríos,1993-01-01,1993,222.322,FALSE
Formosa,1993-01-01,1993,31.37,FALSE
Jujuy,1993-01-01,1993,70.328,FALSE
La Pampa,1993-01-01,1993,105.333,FALSE
La Rioja,1993-01-01,1993,46.612,FALSE
Mendoza,1993-01-01,1993,471.845,FALSE
Misiones,1993-01-01,1993,138.459,FALSE
Neuquén,1993-01-01,1993,319.171,FALSE
Río Negro,1993-01-01,1993,212.789,FALSE
Salta,1993-01-01,1993,176.23,FALSE
San Juan,1993-01-01,1993,41.875,FALSE
San Luis,1993-01-01,1993,88.187,FALSE
Santa Cruz,1993-01-01,1993,328.389,FALSE
Santa Fe,1993-01-01,1993,2501.869,FALSE
Santiago del Estero,1993-01-01,1993,38.351,FALSE
Tierra del Fuego,1993-01-01,1993,195.641,FALSE
Tucumán,1993-01-01,1993,153.34,FALSE
Buenos Aires,1994-01-01,1994,6223.191,FALSE
C.A.B.A.,1994-01-01,1994,306.914,FALSE
Catamarca,1994-01-01,1994,25.035,FALSE
Chaco,1994-01-01,1994,246.209,FALSE
Chubut,1994-01-01,1994,540.394,FALSE
Corrientes,1994-01-01,1994,97.261,FALSE
Córdoba,1994-01-01,1994,1599.301,FALSE
Entre Ríos,1994-01-01,1994,205.144,FALSE
Formosa,1994-01-01,1994,35.035,FALSE
Jujuy,1994-01-01,1994,70.706,FALSE
La Pampa,1994-01-01,1994,130.924,FALSE
La Rioja,1994-01-01,1994,69.887,FALSE
Mendoza,1994-01-01,1994,460.504,FALSE
Misiones,1994-01-01,1994,155.59,FALSE
Neuquén,1994-01-01,1994,538.712,FALSE
Río Negro,1994-01-01,1994,232.566,FALSE
Salta,1994-01-01,1994,228.467,FALSE
San Juan,1994-01-01,1994,46.089,FALSE
San Luis,1994-01-01,1994,111.419,FALSE
Santa Cruz,1994-01-01,1994,567.179,FALSE
Santa Fe,1994-01-01,1994,2838.09,FALSE
Santiago del Estero,1994-01-01,1994,61.972,FALSE
Tierra del Fuego,1994-01-01,1994,236.959,FALSE
Tucumán,1994-01-01,1994,223.73,FALSE
Buenos Aires,1995-01-01,1995,8133.711,FALSE
C.A.B.A.,1995-01-01,1995,260.827,FALSE
Catamarca,1995-01-01,1995,18.421,FALSE
Chaco,1995-01-01,1995,389.407,FALSE
Chubut,1995-01-01,1995,745.364,FALSE
Corrientes,1995-01-01,1995,144.953,FALSE
Córdoba,1995-01-01,1995,2000.343,FALSE
Entre Ríos,1995-01-01,1995,381.723,FALSE
Formosa,1995-01-01,1995,52.893,FALSE
Jujuy,1995-01-01,1995,107.092,FALSE
La Pampa,1995-01-01,1995,143.337,FALSE
La Rioja,1995-01-01,1995,136.023,FALSE
Mendoza,1995-01-01,1995,728.203,FALSE
Misiones,1995-01-01,1995,231.558,FALSE
Neuquén,1995-01-01,1995,696.912,FALSE
Río Negro,1995-01-01,1995,404.014,FALSE
Salta,1995-01-01,1995,303.741,FALSE
San Juan,1995-01-01,1995,85.765,FALSE
San Luis,1995-01-01,1995,203.308,FALSE
Santa Cruz,1995-01-01,1995,768.629,FALSE
Santa Fe,1995-01-01,1995,3455.904,FALSE
Santiago del Estero,1995-01-01,1995,133.498,FALSE
Tierra del Fuego,1995-01-01,1995,232.808,FALSE
Tucumán,1995-01-01,1995,387.411,FALSE
Buenos Aires,1996-01-01,1996,8908.843,FALSE
C.A.B.A.,1996-01-01,1996,255.946,FALSE
Catamarca,1996-01-01,1996,21.61,FALSE
Chaco,1996-01-01,1996,427.195,FALSE
Chubut,1996-01-01,1996,841.906,FALSE
Corrientes,1996-01-01,1996,121.428,FALSE
Córdoba,1996-01-01,1996,2332.419,FALSE
Entre Ríos,1996-01-01,1996,404.856,FALSE
Formosa,1996-01-01,1996,56.168,FALSE
Jujuy,1996-01-01,1996,148.578,FALSE
La Pampa,1996-01-01,1996,145.741,FALSE
La Rioja,1996-01-01,1996,114.306,FALSE
Mendoza,1996-01-01,1996,657.043,FALSE
Misiones,1996-01-01,1996,195.853,FALSE
Neuquén,1996-01-01,1996,810.081,FALSE
Río Negro,1996-01-01,1996,418.913,FALSE
Salta,1996-01-01,1996,363.078,FALSE
San Juan,1996-01-01,1996,110.526,FALSE
San Luis,1996-01-01,1996,238.385,FALSE
Santa Cruz,1996-01-01,1996,1297.94,FALSE
Santa Fe,1996-01-01,1996,4217.954,FALSE
Santiago del Estero,1996-01-01,1996,173.981,FALSE
Tierra del Fuego,1996-01-01,1996,262.358,FALSE
Tucumán,1996-01-01,1996,362.48,FALSE
Buenos Aires,1997-01-01,1997,10367.901,FALSE
