jurisdiccion,subrubro,tipo_fila,fecha,anio,exportaciones_millones_usd,provisorio,la_rioja_region
Buenos Aires,Cereales,subrubro,1993-01-01,1993,697.023,FALSE,1. Resto país
Buenos Aires,Grasas y aceites,subrubro,1993-01-01,1993,350.496,FALSE,1. Resto país
Buenos Aires,Material de transporte terrestre,subrubro,1993-01-01,1993,375.743,FALSE,1. Resto país
Buenos Aires,Metales comunes y sus manufacturas,subrubro,1993-01-01,1993,486.839,FALSE,1. Resto país
Buenos Aires,Productos químicos y conexos,subrubro,1993-01-01,1993,357.85,FALSE,1. Resto país
Buenos Aires,Resto de productos,subrubro,1993-01-01,1993,2930.603,FALSE,1. Resto país
Buenos Aires,Total,total,1993-01-01,1993,5198.553,FALSE,1. Resto país
C.A.B.A.,Carnes,subrubro,1993-01-01,1993,31.966,FALSE,1. Resto país
C.A.B.A.,"Manufacturas de cuero, marroquinería, etc.",subrubro,1993-01-01,1993,13.713,FALSE,1. Resto país
C.A.B.A.,"Máquinas y aparatos, material eléctrico",subrubro,1993-01-01,1993,44.825,FALSE,1. Resto país
C.A.B.A.,Pieles y cueros,subrubro,1993-01-01,1993,27.941,FALSE,1. Resto país
C.A.B.A.,Productos químicos y conexos,subrubro,1993-01-01,1993,15.274,FALSE,1. Resto país
C.A.B.A.,Resto de productos,subrubro,1993-01-01,1993,55.937,FALSE,1. Resto país
C.A.B.A.,Total,total,1993-01-01,1993,189.656,FALSE,1. Resto país
Catamarca,"Azúcar, cacao y artículos de confitería",subrubro,1993-01-01,1993,0,FALSE,2. NOA-Resto
Catamarca,Calzado y sus componentes,subrubro,1993-01-01,1993,1.396,FALSE,2. NOA-Resto
Catamarca,Cereales,subrubro,1993-01-01,1993,3.837,FALSE,2. NOA-Resto
Catamarca,Fibras de algodón,subrubro,1993-01-01,1993,0,FALSE,2. NOA-Resto
Catamarca,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,2.507,FALSE,2. NOA-Resto
Catamarca,Resto de productos,subrubro,1993-01-01,1993,3.658,FALSE,2. NOA-Resto
Catamarca,Total,total,1993-01-01,1993,11.542,FALSE,2. NOA-Resto
Chaco,Animales vivos,subrubro,1993-01-01,1993,NA,FALSE,1. Resto país
Chaco,Cereales,subrubro,1993-01-01,1993,21.787,FALSE,1. Resto país
Chaco,"Extractos curtientes y tintóreos y materias albuminoideas, productos a base de almidón o féculas modificadas, colas enzimas",subrubro,1993-01-01,1993,40.533,FALSE,1. Resto país
Chaco,Fibras de algodón,subrubro,1993-01-01,1993,18.895,FALSE,1. Resto país
Chaco,Resto de productos,subrubro,1993-01-01,1993,58.54,FALSE,1. Resto país
Chaco,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,12.866,FALSE,1. Resto país
Chaco,Total,total,1993-01-01,1993,152.621,FALSE,1. Resto país
Chubut,Lanas elaboradas,subrubro,1993-01-01,1993,33.034,FALSE,1. Resto país
Chubut,Metales comunes y sus manufacturas,subrubro,1993-01-01,1993,115.339,FALSE,1. Resto país
Chubut,Pescados y mariscos elaborados,subrubro,1993-01-01,1993,49.318,FALSE,1. Resto país
Chubut,Pescados y mariscos sin elaborar,subrubro,1993-01-01,1993,101.038,FALSE,1. Resto país
Chubut,Petróleo crudo,subrubro,1993-01-01,1993,56.955,FALSE,1. Resto país
Chubut,Resto de productos,subrubro,1993-01-01,1993,40.411,FALSE,1. Resto país
Chubut,Total,total,1993-01-01,1993,396.095,FALSE,1. Resto país
Corrientes,"Café, té, yerba mate y especias",subrubro,1993-01-01,1993,2.964,FALSE,1. Resto país
Corrientes,Cereales,subrubro,1993-01-01,1993,25.887,FALSE,1. Resto país
Corrientes,Fibras de algodón,subrubro,1993-01-01,1993,0.681,FALSE,1. Resto país
Corrientes,Frutas frescas,subrubro,1993-01-01,1993,10.631,FALSE,1. Resto país
Corrientes,Resto de productos,subrubro,1993-01-01,1993,13.718,FALSE,1. Resto país
Corrientes,Textiles y confecciones,subrubro,1993-01-01,1993,11.995,FALSE,1. Resto país
Corrientes,Total,total,1993-01-01,1993,65.877,FALSE,1. Resto país
Córdoba,Cereales,subrubro,1993-01-01,1993,220.591,FALSE,1. Resto país
Córdoba,Grasas y aceites,subrubro,1993-01-01,1993,169.74,FALSE,1. Resto país
Córdoba,Material de transporte terrestre,subrubro,1993-01-01,1993,207.867,FALSE,1. Resto país
Córdoba,Residuos y desperdicios de la industria alimenticia,subrubro,1993-01-01,1993,238.356,FALSE,1. Resto país
Córdoba,Resto de productos,subrubro,1993-01-01,1993,306.013,FALSE,1. Resto país
Córdoba,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,256.432,FALSE,1. Resto país
Córdoba,Total,total,1993-01-01,1993,1398.998,FALSE,1. Resto país
Entre Ríos,Carnes,subrubro,1993-01-01,1993,45.312,FALSE,1. Resto país
Entre Ríos,Cereales,subrubro,1993-01-01,1993,95.672,FALSE,1. Resto país
Entre Ríos,Frutas frescas,subrubro,1993-01-01,1993,15.245,FALSE,1. Resto país
Entre Ríos,Productos lácteos,subrubro,1993-01-01,1993,0.505,FALSE,1. Resto país
Entre Ríos,Productos químicos y conexos,subrubro,1993-01-01,1993,8.062,FALSE,1. Resto país
Entre Ríos,Resto de productos,subrubro,1993-01-01,1993,57.527,FALSE,1. Resto país
Entre Ríos,Total,total,1993-01-01,1993,222.322,FALSE,1. Resto país
Formosa,Animales vivos,subrubro,1993-01-01,1993,0,FALSE,1. Resto país
Formosa,Cereales,subrubro,1993-01-01,1993,6.984,FALSE,1. Resto país
Formosa,Fibras de algodón,subrubro,1993-01-01,1993,0.537,FALSE,1. Resto país
Formosa,Frutas frescas,subrubro,1993-01-01,1993,0.844,FALSE,1. Resto país
Formosa,Petróleo crudo,subrubro,1993-01-01,1993,9.493,FALSE,1. Resto país
Formosa,Resto de productos,subrubro,1993-01-01,1993,13.135,FALSE,1. Resto país
Formosa,Total,total,1993-01-01,1993,31.37,FALSE,1. Resto país
Jujuy,"Azúcar ,cacao y artículos de confitería",subrubro,1993-01-01,1993,10.661,FALSE,2. NOA-Resto
Jujuy,Frutas frescas,subrubro,1993-01-01,1993,2.507,FALSE,2. NOA-Resto
Jujuy,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,4.983,FALSE,2. NOA-Resto
Jujuy,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,3.298,FALSE,2. NOA-Resto
Jujuy,Resto de productos,subrubro,1993-01-01,1993,13.006,FALSE,2. NOA-Resto
Jujuy,Tabaco sin elaborar,subrubro,1993-01-01,1993,35.873,FALSE,2. NOA-Resto
Jujuy,Total,total,1993-01-01,1993,70.328,FALSE,2. NOA-Resto
La Pampa,Carnes,subrubro,1993-01-01,1993,6.96,FALSE,1. Resto país
La Pampa,Cereales,subrubro,1993-01-01,1993,72.848,FALSE,1. Resto país
La Pampa,Miel,subrubro,1993-01-01,1993,6.019,FALSE,1. Resto país
La Pampa,Petróleo crudo,subrubro,1993-01-01,1993,7.91,FALSE,1. Resto país
La Pampa,Resto de productos,subrubro,1993-01-01,1993,4.08,FALSE,1. Resto país
La Pampa,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,7.515,FALSE,1. Resto país
La Pampa,Total,total,1993-01-01,1993,105.333,FALSE,1. Resto país
La Rioja,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1993-01-01,1993,0,FALSE,3. La Rioja
La Rioja,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,0,FALSE,3. La Rioja
La Rioja,Pieles y cueros,subrubro,1993-01-01,1993,37.306,FALSE,3. La Rioja
La Rioja,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,7.62,FALSE,3. La Rioja
La Rioja,Resto de productos,subrubro,1993-01-01,1993,0.982,FALSE,3. La Rioja
La Rioja,Textiles y confecciones,subrubro,1993-01-01,1993,0.508,FALSE,3. La Rioja
La Rioja,Total,total,1993-01-01,1993,46.612,FALSE,3. La Rioja
Mendoza,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1993-01-01,1993,25.786,FALSE,1. Resto país
Mendoza,Frutas frescas,subrubro,1993-01-01,1993,28.814,FALSE,1. Resto país
Mendoza,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,42.689,FALSE,1. Resto país
Mendoza,Petróleo crudo,subrubro,1993-01-01,1993,33.224,FALSE,1. Resto país
Mendoza,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,35.85,FALSE,1. Resto país
Mendoza,Resto de productos,subrubro,1993-01-01,1993,305.483,FALSE,1. Resto país
Mendoza,Total,total,1993-01-01,1993,471.845,FALSE,1. Resto país
Misiones,"Café, té, yerba mate y especias",subrubro,1993-01-01,1993,54.788,FALSE,1. Resto país
Misiones,Frutas frescas,subrubro,1993-01-01,1993,2.746,FALSE,1. Resto país
Misiones,Grasas y aceites,subrubro,1993-01-01,1993,4.348,FALSE,1. Resto país
Misiones,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,42.527,FALSE,1. Resto país
Misiones,Resto de productos,subrubro,1993-01-01,1993,3.42,FALSE,1. Resto país
Misiones,Tabaco sin elaborar,subrubro,1993-01-01,1993,30.63,FALSE,1. Resto país
Misiones,Total,total,1993-01-01,1993,138.459,FALSE,1. Resto país
Neuquén,Carburantes,subrubro,1993-01-01,1993,22.341,FALSE,1. Resto país
Neuquén,Frutas frescas,subrubro,1993-01-01,1993,21.352,FALSE,1. Resto país
Neuquén,"Manufacturas de piedra, yeso, etc, productos cerámicos, vidrio y sus manufacturas.",subrubro,1993-01-01,1993,9.371,FALSE,1. Resto país
Neuquén,Petróleo crudo,subrubro,1993-01-01,1993,232.566,FALSE,1. Resto país
Neuquén,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,24.743,FALSE,1. Resto país
Neuquén,Resto de productos,subrubro,1993-01-01,1993,8.798,FALSE,1. Resto país
Neuquén,Total,total,1993-01-01,1993,319.171,FALSE,1. Resto país
Río Negro,Frutas frescas,subrubro,1993-01-01,1993,104.61,FALSE,1. Resto país
Río Negro,Lanas sucias,subrubro,1993-01-01,1993,6.389,FALSE,1. Resto país
Río Negro,Pescados y mariscos sin elaborar,subrubro,1993-01-01,1993,2.296,FALSE,1. Resto país
