anio,la_rioja_region,letra,letra_desc,tipo_sector,vab_millones_2004,vab_total,share
2004,1. Resto país,A,Agro,Bienes,35173.034188218466,382253.2051232523,0.09201501443755691
2004,1. Resto país,B,Pesca,Bienes,1442.4956022706544,382253.2051232523,0.0037736651594733957
2004,1. Resto país,C,Petróleo y minería,Bienes,21646.87047770027,382253.2051232523,0.05662966376101552
2004,1. Resto país,D,Industria manufacturera,Bienes,87200.87374411413,382253.2051232523,0.22812332918437506
2004,1. Resto país,E,"Electricidad, gas y agua",Bienes,8121.1226626241605,382253.2051232523,0.021245401094820423
2004,1. Resto país,F,Construcción,Bienes,13745.587532701406,382253.2051232523,0.035959378099313336
2004,1. Resto país,G,Comercio,Servicios,54984.546305682314,382253.2051232523,0.14384325773789994
2004,1. Resto país,H,Hotelería y restaurantes,Servicios,6516.5099112224525,382253.2051232523,0.017047626609491197
2004,1. Resto país,I,Transporte y comunicaciones,Servicios,27840.151710630347,382253.2051232523,0.07283170248802406
2004,1. Resto país,J,Finanzas,Servicios,14448.502115752673,382253.2051232523,0.037798249752003917
2004,1. Resto país,K,Serv. inmobiliarios y profesionales,Servicios,50166.63632838935,382253.2051232523,0.13123928238146182
2004,1. Resto país,L,Adm. pública y defensa,Servicios,19121.293361549568,382253.2051232523,0.050022584782210444
2004,1. Resto país,M,Enseñanza,Servicios,15316.467023114417,382253.2051232523,0.040068904113376456
2004,1. Resto país,N,Salud,Servicios,12041.97745689699,382253.2051232523,0.03150261997937786
2004,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,11642.984892250346,382253.2051232523,0.030458828693133457
2004,1. Resto país,P,Servicio doméstico,Servicios,2844.1518101347388,382253.2051232523,0.007440491726466181
2004,2. NOA-Resto,A,Agro,Bienes,3836.268030944455,27359.794566985645,0.14021552762583897
2004,2. NOA-Resto,B,Pesca,Bienes,0,27359.794566985645,0
2004,2. NOA-Resto,C,Petróleo y minería,Bienes,2669.889717045632,27359.794566985645,0.09758442120275708
2004,2. NOA-Resto,D,Industria manufacturera,Bienes,3948.9576218586467,27359.794566985645,0.14433433014967706
2004,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,550.5543389870754,27359.794566985645,0.020122751201188296
2004,2. NOA-Resto,F,Construcción,Bienes,1037.1810861127224,27359.794566985645,0.0379089500680777
2004,2. NOA-Resto,G,Comercio,Servicios,4648.355387667153,27359.794566985645,0.1698973059277354
2004,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,362.5434452001533,27359.794566985645,0.01325095641023654
2004,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,1845.0267292650408,27359.794566985645,0.06743569381516434
2004,2. NOA-Resto,J,Finanzas,Servicios,571.7157250048783,27359.794566985645,0.020896199480048467
2004,2. NOA-Resto,K,Serv. inmobiliarios y profesionales,Servicios,2665.3191554803907,27359.794566985645,0.09741736725964172
2004,2. NOA-Resto,L,Adm. pública y defensa,Servicios,1863.9960018973377,27359.794566985645,0.06812902038915794
2004,2. NOA-Resto,M,Enseñanza,Servicios,1552.2341221568047,27359.794566985645,0.05673412928435674
2004,2. NOA-Resto,N,Salud,Servicios,1064.9290144087897,27359.794566985645,0.038923136348904167
2004,2. NOA-Resto,O,"Serv. comunitarios, sociales y personales",Servicios,564.6177165310088,27359.794566985645,0.020636767397819514
2004,2. NOA-Resto,P,Servicio doméstico,Servicios,178.206474425555,27359.794566985645,0.006513443439396001
2004,3. La Rioja,A,Agro,Bienes,115.89539392946644,2520.350514623308,0.045983839651282866
2004,3. La Rioja,B,Pesca,Bienes,0,2520.350514623308,0
2004,3. La Rioja,C,Petróleo y minería,Bienes,5.045624548647811,2520.350514623308,0.0020019535058209675
2004,3. La Rioja,D,Industria manufacturera,Bienes,716.4991240978976,2520.350514623308,0.2842855070914554
2004,3. La Rioja,E,"Electricidad, gas y agua",Bienes,30.728575184595883,2520.350514623308,0.012192183192895526
2004,3. La Rioja,F,Construcción,Bienes,121.95677068560474,2520.350514623308,0.04838881337258458
2004,3. La Rioja,G,Comercio,Servicios,401.69374917943225,2520.350514623308,0.1593801127457343
2004,3. La Rioja,H,Hotelería y restaurantes,Servicios,56.98089112375548,2520.350514623308,0.02260832007022319
2004,3. La Rioja,I,Transporte y comunicaciones,Servicios,104.72170504748055,2520.350514623308,0.04155045278022858
2004,3. La Rioja,J,Finanzas,Servicios,59.19089967118558,2520.350514623308,0.023485185623092694
2004,3. La Rioja,K,Serv. inmobiliarios y profesionales,Servicios,252.41025083540512,2520.350514623308,0.10014886793360582
