anio,pbg_miles,pbg_millones,provincia
2004,2153923.430374029,2153.923430374029,La Rioja
2005,2714339.020105674,2714.339020105674,La Rioja
2006,3530735.7335047117,3530.735733504712,La Rioja
2007,4068736.977295855,4068.736977295855,La Rioja
2008,4847426.632057872,4847.426632057872,La Rioja
2009,5418892.197768215,5418.892197768215,La Rioja
2010,6572635.1432941705,6572.63514329417,La Rioja
2011,7900182.547274548,7900.182547274548,La Rioja
2012,9270519.927596072,9270.519927596071,La Rioja
2013,11391416.778778275,11391.416778778275,La Rioja
2014,15030949.291347891,15030.949291347892,La Rioja
2015,18658972.9320836,18658.972932083598,La Rioja
2016,22677625.519164186,22677.625519164187,La Rioja
2017,30965085.205040388,30965.08520504039,La Rioja
2018,40162249.05068579,40162.249050685794,La Rioja
2019,62251428.978412196,62251.428978412194,La Rioja
2020,80412910.92027858,80412.91092027858,La Rioja
2021,139693119.91197252,139693.11991197252,La Rioja
2022,256721886.28438178,256721.8862843818,La Rioja
2023,543945642.2782654,543945.6422782653,La Rioja
