anio,la_rioja_region,pct_industrial
2004,1. Resto país,0.22812332918437506
2004,2. NOA-Resto,0.14433433014967706
2004,3. La Rioja,0.2842855070914554
2005,1. Resto país,0.22442565333116457
2005,2. NOA-Resto,0.1389035917342889
2005,3. La Rioja,0.2884427368601921
2006,1. Resto país,0.22803841844089642
2006,2. NOA-Resto,0.1384631323041015
2006,3. La Rioja,0.28370154993190605
2007,1. Resto país,0.2268861188830144
2007,2. NOA-Resto,0.13944436117641013
2007,3. La Rioja,0.27765968653705553
2008,1. Resto país,0.22670933913813585
2008,2. NOA-Resto,0.13878482950595086
2008,3. La Rioja,0.2732755227852113
2009,1. Resto país,0.2229392183587059
2009,2. NOA-Resto,0.13772145909914393
2009,3. La Rioja,0.2653550428169889
2010,1. Resto país,0.225099757304585
2010,2. NOA-Resto,0.135547220182544
2010,3. La Rioja,0.2699315382037065
2011,1. Resto país,0.23000172042264927
2011,2. NOA-Resto,0.13698163299098112
2011,3. La Rioja,0.2758713694759419
2012,1. Resto país,0.22604051643682485
2012,2. NOA-Resto,0.14080337023789838
2012,3. La Rioja,0.2658713055452584
2013,1. Resto país,0.2239638309799082
2013,2. NOA-Resto,0.1463087448538179
2013,3. La Rioja,0.26284824500101645
2014,1. Resto país,0.21718372130684144
2014,2. NOA-Resto,0.13885764465989817
2014,3. La Rioja,0.2477932075505443
2015,1. Resto país,0.21276197405102296
2015,2. NOA-Resto,0.1397212074987784
2015,3. La Rioja,0.2486628896500518
2016,1. Resto país,0.20585144255558005
2016,2. NOA-Resto,0.13001699448408405
2016,3. La Rioja,0.24398233147841428
2017,1. Resto país,0.2061746645263167
2017,2. NOA-Resto,0.12793180790393244
2017,3. La Rioja,0.2257239326188111
2018,1. Resto país,0.20189021772915666
2018,2. NOA-Resto,0.12343033930967302
2018,3. La Rioja,0.20049206962260013
2019,1. Resto país,0.19258276917458914
2019,2. NOA-Resto,0.11916604800765088
2019,3. La Rioja,0.1961204469719078
2020,1. Resto país,0.19747936573693914
2020,2. NOA-Resto,0.12026880936253491
2020,3. La Rioja,0.20563640348265697
2021,1. Resto país,0.2072931954451006
2021,2. NOA-Resto,0.1225739846640421
2021,3. La Rioja,0.19936554241629695
2022,1. Resto país,0.20700383188469354
2022,2. NOA-Resto,0.12066764801476139
2022,3. La Rioja,0.1925778824060431
2023,1. Resto país,0.20591703052999255
2023,2. NOA-Resto,0.11959188901407722
2023,3. La Rioja,0.19468636093906894
2024,1. Resto país,0.18993841833555747
2024,2. NOA-Resto,0.11414948673831549
2024,3. La Rioja,0.18712572357956458
