anio,la_rioja_region,vab_millones_2004,poblacion,pbg_per_capita,indice_base
2010,1. Resto país,521304.66071431054,35777100,14570.90319546052,100
2010,2. NOA-Resto,38102.83496962256,4668771,8161.213083619344,100
2010,3. La Rioja,3282.873845962584,342582,9582.738865330297,100
2011,1. Resto país,549500.4763146217,36183217,15186.611967493707,104.22560471217054
2011,2. NOA-Resto,40268.221142837065,4730779,8511.964127438012,104.2977807370656
2011,3. La Rioja,3460.6633689226396,347494,9958.915460188204,103.92556449825517
2012,1. Resto país,542329.6899791776,36587900,14822.651477105206,101.72774658006867
2012,2. NOA-Resto,39142.82935746475,4792895,8166.844747791209,100.06900523383183
2012,3. La Rioja,3333.5046082027775,352476,9457.394569283519,98.69197838104235
2013,1. Resto país,554671.1114168095,36990370,14995.01387568736,102.91066843652472
2013,2. NOA-Resto,39519.65279863996,4855049,8139.908124231076,99.73894861989292
2013,3. La Rioja,3489.539524733442,357516,9760.512885390981,101.85514833033652
2014,1. Resto país,542044.2809585629,37389758,14497.132636123584,99.4937132012522
2014,2. NOA-Resto,41417.98489763995,4917137,8423.191157301486,103.21003839745305
2014,3. La Rioja,3366.1925939243497,362605,9283.359561849256,96.87584825498924
2015,1. Resto país,557013.4576594336,37785223,14741.568619548272,101.17127553315242
2015,2. NOA-Resto,42182.16764636667,4979015,8471.990473289732,103.80798033927285
2015,3. La Rioja,3440.84489543921,367728,9357.03807009314,97.6447151653717
2016,1. Resto país,543814.7099663813,38176806,14244.636127139114,97.76083154252886
2016,2. NOA-Resto,42089.052670294375,5040683,8349.8709738927,102.3116402958773
2016,3. La Rioja,3390.732274539304,372879,9093.384917196474,94.89338116157718
2017,1. Resto país,557389.7039548262,38564632,14453.390971157878,99.19351448069979
2017,2. NOA-Resto,43605.630246227185,5102132,8546.550784304913,104.72157382410458
2017,3. La Rioja,3500.4297548849117,378047,9259.24489517153,96.62420134050458
2018,1. Resto país,542847.8896551975,38948068,13937.736004137549,95.65457828640142
2018,2. NOA-Resto,42032.00165950618,5163214,8140.666193480684,99.74823730335017
2018,3. La Rioja,3375.698059510104,383220,8808.773183837233,91.92333535986022
2019,1. Resto país,532968.1124453641,39326547,13552.375001175775,93.0098485960564
2019,2. NOA-Resto,42512.802191617506,5223779,8138.3232697282,99.71952927026146
2019,3. La Rioja,3291.659809459429,388386,8475.227761709817,88.44264547761621
2020,1. Resto país,479862.55510759255,39699547,12087.355936519692,82.95543367747744
2020,2. NOA-Resto,38678.46346604108,5283685,7320.357565986823,89.69692974540474
2020,3. La Rioja,2908.4542255778533,393531,7390.661029443305,77.12472533486454
2021,1. Resto país,530430.1960986776,40067176,13238.522128404496,90.85587867009424
2021,2. NOA-Resto,42335.9452046139,5342923,7923.742341900473,97.09025191125683
2021,3. La Rioja,3214.73362621082,398648,8064.090692066235,84.1522533942939
2022,1. Resto país,556709.7394587848,40236147,13836.059885624356,94.95677584307128
2022,2. NOA-Resto,44313.811728113214,5500914,8055.717963980752,98.70735981823174
2022,3. La Rioja,3480.57589530622,398518,8733.798461565651,91.14094189881293
2023,1. Resto país,548442.9270897588,40294702,13610.794964801049,93.41078437087836
2023,2. NOA-Resto,43325.85234512398,5519663,7849.365503858476,96.17890653551507
2023,3. La Rioja,3462.9670408966936,400097,8655.318687460025,90.32197171493826
2024,1. Resto país,542221.3301193191,40361615,13434.084094982798,92.19801898874813
2024,2. NOA-Resto,41420.941126322185,5538285,7479.019430441406,91.64102632552026
2024,3. La Rioja,3218.344598848827,401843,8008.960212940942,83.57694314218267
