anio,geocodigo,provincia,vab_millones_2004,la_rioja_region
2004,AR-B,Buenos Aires,131865.7866368215,1. Resto país
2004,AR-C,CABA,85706.9389997919,1. Resto país
2004,AR-K,Catamarca,3857.959216246119,2. NOA-Resto
2004,AR-H,Chaco,5596.916710129125,1. Resto país
2004,AR-U,Chubut,9546.840944226207,1. Resto país
2004,AR-W,Corrientes,4777.10315769382,1. Resto país
2004,AR-X,Córdoba,32365.857410813114,1. Resto país
2004,AR-E,Entre Ríos,10433.913892555713,1. Resto país
2004,AR-P,Formosa,2263.4084682685498,1. Resto país
2004,AR-Y,Jujuy,3654.7864904487597,2. NOA-Resto
2004,AR-L,La Pampa,3826.128184994525,1. Resto país
2004,AR-F,La Rioja,2520.350514623308,3. La Rioja
2004,AR-M,Mendoza,16294.445001773267,1. Resto país
2004,AR-N,Misiones,5385.670902209469,1. Resto país
2004,AR-Q,Neuquén,13372.499426450646,1. Resto país
2004,AR-R,Río Negro,5843.689111092489,1. Resto país
2004,AR-A,Salta,7264.366344138983,2. NOA-Resto
2004,AR-J,San Juan,4791.381687830709,1. Resto país
2004,AR-D,San Luis,4486.518603521241,1. Resto país
2004,AR-Z,Santa Cruz,7427.58479029961,1. Resto país
2004,AR-S,Santa Fe,34938.5999010332,1. Resto país
2004,AR-G,Santiago del Estero,5165.689413779488,2. NOA-Resto
2004,AR-V,Tierra del Fuego,3329.921293747206,1. Resto país
2004,AR-T,Tucumán,7416.993102372295,2. NOA-Resto
2005,AR-B,Buenos Aires,144250.01895252315,1. Resto país
2005,AR-C,CABA,93469.95463675623,1. Resto país
2005,AR-K,Catamarca,4350.10776774543,2. NOA-Resto
2005,AR-H,Chaco,6254.400273992606,1. Resto país
2005,AR-U,Chubut,9965.913162858926,1. Resto país
2005,AR-W,Corrientes,5419.832134179636,1. Resto país
2005,AR-X,Córdoba,37648.15552078849,1. Resto país
2005,AR-E,Entre Ríos,11704.25982744311,1. Resto país
2005,AR-P,Formosa,2557.506733885716,1. Resto país
2005,AR-Y,Jujuy,3855.4124577396296,2. NOA-Resto
2005,AR-L,La Pampa,4607.640394966203,1. Resto país
2005,AR-F,La Rioja,2718.6692214556588,3. La Rioja
2005,AR-M,Mendoza,16880.82450340275,1. Resto país
2005,AR-N,Misiones,5745.407290248909,1. Resto país
2005,AR-Q,Neuquén,13195.889155313085,1. Resto país
2005,AR-R,Río Negro,6406.376855477958,1. Resto país
2005,AR-A,Salta,7806.329561458874,2. NOA-Resto
2005,AR-J,San Juan,5256.855159910031,1. Resto país
2005,AR-D,San Luis,4785.114549925444,1. Resto país
2005,AR-Z,Santa Cruz,7585.025494084977,1. Resto país
2005,AR-S,Santa Fe,38666.4370980856,1. Resto país
2005,AR-G,Santiago del Estero,5202.491355886573,2. NOA-Resto
2005,AR-V,Tierra del Fuego,3626.2595871360163,1. Resto país
2005,AR-T,Tucumán,8200.339908670028,2. NOA-Resto
2006,AR-B,Buenos Aires,154690.49646350872,1. Resto país
2006,AR-C,CABA,101611.0837740649,1. Resto país
2006,AR-K,Catamarca,4586.2666965094495,2. NOA-Resto
2006,AR-H,Chaco,6857.731823114191,1. Resto país
2006,AR-U,Chubut,10999.771078496578,1. Resto país
2006,AR-W,Corrientes,5703.463900320447,1. Resto país
2006,AR-X,Córdoba,39985.42106446756,1. Resto país
2006,AR-E,Entre Ríos,12458.141764772166,1. Resto país
2006,AR-P,Formosa,2734.8460493501752,1. Resto país
2006,AR-Y,Jujuy,4096.5501505368165,2. NOA-Resto
2006,AR-L,La Pampa,4616.580119575321,1. Resto país
2006,AR-F,La Rioja,2851.713936585146,3. La Rioja
