anio,la_rioja_region,vab_millones_2004,indice_2004
2004,1. Resto país,382253.2051232523,100
2004,2. NOA-Resto,27359.794566985645,100
2004,3. La Rioja,2520.350514623308,100
2005,1. Resto país,418025.8713309788,109.3583691982889
2005,2. NOA-Resto,29414.681051500535,107.51060641001473
2005,3. La Rioja,2718.6692214556588,107.8686954723832
2006,1. Resto país,448702.9197065595,117.38369062513979
2006,2. NOA-Resto,32755.028869796224,119.71957168611517
2006,3. La Rioja,2851.713936585146,113.1475134128859
2007,1. Resto país,484760.0181565201,126.81646920402301
2007,2. NOA-Resto,35306.811041087785,129.0463309387988
2007,3. La Rioja,3128.877358604226,124.14453229620995
2008,1. Resto país,503091.9653857833,131.61222944450347
2008,2. NOA-Resto,36542.43597756536,133.56253786225489
2008,3. La Rioja,3083.524513554362,122.34506651608442
2009,1. Resto país,474427.2898829318,124.11335824639043
2009,2. NOA-Resto,34149.38408688708,124.81593750010923
2009,3. La Rioja,2972.1802210852984,117.92725669863903
2010,1. Resto país,521304.6607143105,136.37679258862536
2010,2. NOA-Resto,38102.83496962256,139.26579337551118
2010,3. La Rioja,3282.873845962584,130.25465414096354
2011,1. Resto país,549500.4763146217,143.75300689432882
2011,2. NOA-Resto,40268.221142837065,147.18027594924885
2011,3. La Rioja,3460.6633689226396,137.3088127561444
2012,1. Resto país,542329.6899791776,141.87708113639252
2012,2. NOA-Resto,39142.82935746475,143.06697099508702
2012,3. La Rioja,3333.5046082027775,132.263531951666
2013,1. Resto país,554671.1114168095,145.10567968631247
2013,2. NOA-Resto,39519.65279863996,144.44425999575049
2013,3. La Rioja,3489.539524733442,138.45453259325674
2014,1. Resto país,542044.2809585629,141.8024162240283
2014,2. NOA-Resto,41417.98489763995,151.38266040790364
2014,3. La Rioja,3366.1925939243497,133.56049384374862
2015,1. Resto país,557013.4576594336,145.7184531598191
2015,2. NOA-Resto,42182.16764636667,154.1757469819119
2015,3. La Rioja,3440.8448954392106,136.52247476988256
2016,1. Resto país,543814.7099663813,142.26557231640106
2016,2. NOA-Resto,42089.052670294375,153.83541191161626
2016,3. La Rioja,3390.732274539304,134.53415526395875
2017,1. Resto país,557389.7039548262,145.8168817119803
2017,2. NOA-Resto,43605.63024622719,159.3785002276478
2017,3. La Rioja,3500.4297548849117,138.88662448239216
2018,1. Resto país,542847.8896551975,142.0126456441781
2018,2. NOA-Resto,42032.00165950618,153.6268905696577
2018,3. La Rioja,3375.698059510104,133.93764240029273
2019,1. Resto país,532968.1124453641,139.42802972012123
2019,2. NOA-Resto,42512.802191617506,155.38421565093404
2019,3. La Rioja,3291.659809459429,130.603254998101
2020,1. Resto país,479862.55510759255,125.53526005174174
2020,2. NOA-Resto,38678.463466041074,141.36971449600492
2020,3. La Rioja,2908.4542255778533,115.39879904413024
2021,1. Resto país,530430.1960986776,138.76409379684537
2021,2. NOA-Resto,42335.9452046139,154.73780368109774
2021,3. La Rioja,3214.73362621082,127.55105321893271
2022,1. Resto país,556709.7394587848,145.63899844326522
2022,2. NOA-Resto,44313.811728113214,161.9669022719401
2022,3. La Rioja,3480.57589530622,138.09888248128962
2023,1. Resto país,548442.9270897588,143.47634493029847
2023,2. NOA-Resto,43325.85234512399,158.35591250163907
2023,3. La Rioja,3462.9670408966936,137.40021559716544
2024,1. Resto país,542221.3301193191,141.8487334709168
2024,2. NOA-Resto,41420.941126322185,151.39346541842735
2024,3. La Rioja,3218.344598848827,127.69432585569714
