anio,la_rioja_region,rec_prov,rec_nac,rec_total,pct_propios
2003,1. Resto país,13617.10768,15930.996200000001,29548.10388,0.46084539756938203
2003,2. NOA-Resto,715.82212,3431.6077999999998,4147.42992,0.17259414476134177
2003,3. La Rioja,35.47744,398.0258,433.50324,0.08183892697088031
2004,1. Resto país,17123.15778,22691.294,39814.45178,0.43007393080824685
2004,2. NOA-Resto,940.4997699999999,4981.088299999999,5921.58807,0.15882559862020257
2004,3. La Rioja,44.22616,566.9208000000001,611.1469600000001,0.07236583488855118
2005,1. Resto país,20657.14093,27686.0577,48343.19863,0.42730190627438014
2005,2. NOA-Resto,1212.7408,6130.2547,7342.9955,0.16515614097816075
2005,3. La Rioja,60.65773,694.5983,755.25603,0.080314128706791
2006,1. Resto país,25728.45521,33885.8185,59614.27371,0.4315821297288434
2006,2. NOA-Resto,1481.40058,7563.5945,9044.99508,0.1637812477394957
2006,3. La Rioja,79.27051,854.9327,934.2032099999999,0.0848536048168792
2007,1. Resto país,32167.98721,44171.7523,76339.73951,0.42137931589072564
2007,2. NOA-Resto,2025.8680200000001,9936.5732,11962.44122,0.16935239076560327
2007,3. La Rioja,98.4027,1117.0848,1215.4875000000002,0.08095739363835497
2008,1. Resto país,42817.846237302496,55367.9828,98185.8290373025,0.4360898783167096
2008,2. NOA-Resto,2532.25363,12499.9249,15032.17853,0.16845553190752321
2008,3. La Rioja,122.01074000000001,1399.7326,1521.74334,0.08017826448972665
2009,1. Resto país,49841.47394824,60494.4612,110335.93514824,0.45172476112407367
2009,2. NOA-Resto,2977.7176,13647.6479,16625.3655,0.17910689542434421
2009,3. La Rioja,130.47550999999999,1529.0145,1659.49001,0.0786238598688521
2010,1. Resto país,64738.7755018,81010.4047,145749.1802018,0.444179345723692
2010,2. NOA-Resto,3823.16206,18374.7363,22197.89836,0.1722308120344056
2010,3. La Rioja,161.89999999999998,2049.5606000000002,2211.4606000000003,0.07320953400661985
2011,1. Resto país,87334.65403,107022.5198,194357.17383,0.44935132729594907
2011,2. NOA-Resto,5343.81805,24398.047899999998,29741.86595,0.17967326121984623
2011,3. La Rioja,223.60332999999997,2711.9202,2935.52353,0.07617153387286935
2012,1. Resto país,113969.76925549,135749.6019,249719.37115549,0.45639138336819574
2012,2. NOA-Resto,6937.39706,31040.2072,37977.60426,0.1826707396418586
2012,3. La Rioja,311.37532,3445.1285,3756.50382,0.08288965882111095
2013,1. Resto país,165665.81644629,176654.91700000002,342320.73344629,0.4839491163110718
2013,2. NOA-Resto,9488.604060000001,40478.4832,49967.08726,0.18989708186564408
2013,3. La Rioja,408.84499999999997,4487.0369,4895.8819,0.08350793755870621
2014,1. Resto país,227687.3695793,242035.97084,469723.3404193,0.48472654004387805
2014,2. NOA-Resto,13080.516479999998,55754.19337,68834.70985,0.19002791627224383
2014,3. La Rioja,602.06,6161.02033,6763.080330000001,0.08902156571013255
2015,1. Resto país,296491.12122791,330685.3666563,627176.48788421,0.47273953497224935
2015,2. NOA-Resto,17489.88586034,76303.354538763,93793.240399103,0.1864727754997925
2015,3. La Rioja,925.0787965699999,8434.07602664,9359.15482321,0.09884212987650061
2016,1. Resto país,400478.389038253,454794.50231156993,855272.891349823,0.46824632592552223
2016,2. NOA-Resto,23754.776166353,97532.21804790999,121286.994214263,0.1958559227248086
2016,3. La Rioja,1240.0137843100001,10812.71565156,12052.72943587,0.10288240443028683
2017,1. Resto país,546547.9381234728,608813.05920515,1155360.997328623,0.4730538242048831
2017,2. NOA-Resto,32560.07489119118,131248.60534547002,163808.68023666117,0.19876892264897253
2017,3. La Rioja,1613.8304322,14563.19546668,16177.02589888,0.09976063846888765
2018,1. Resto país,719761.788774796,872703.0190692443,1592464.8078440402,0.45197971423258393
2018,2. NOA-Resto,46120.8011447078,183652.70957193,229773.5107166378,0.20072288141858563
2018,3. La Rioja,2267.6563319700003,20393.162396919994,22660.818728889994,0.10006947935552715
2019,1. Resto país,976406.4377969371,1328081.51586056,2304487.953657497,0.4236977833827526
2019,2. NOA-Resto,63106.758124351305,272273.22954731,335379.9876716613,0.1881649485482513
2019,3. La Rioja,2934.2862434700005,30161.098503879988,33095.38474734999,0.08866149361520731
2020,1. Resto país,1281121.0552994837,1819837.91858437,3100958.9738838538,0.4131370540819893
2020,2. NOA-Resto,82900.80223249513,378665.837380371,461566.6396128661,0.17960743935486165
2020,3. La Rioja,3550.75318923,42161.29077974,45712.04396897,0.07767653513022307
2021,1. Resto país,2168375.3464427767,2870728.0395900165,5039103.386032793,0.4303097555912431
2021,2. NOA-Resto,146199.43485137,616208.6105886248,762408.0454399949,0.1917600892668919
2021,3. La Rioja,7378.624862769999,68804.42959039344,76183.05445316344,0.09685388589015294
2022,1. Resto país,3915118.1498411153,5266898.231401805,9182016.38124292,0.42638980233567686
2022,2. NOA-Resto,260262.66349253,1133726.7499199652,1393989.4134124953,0.1867034720553618
2022,3. La Rioja,13755.933265,126616.87358588699,140372.806850887,0.09799571279936317
2023,1. Resto país,9051492.105445268,11586446.675077178,20637938.780522447,0.43858508360281756
2023,2. NOA-Resto,606826.75650722,2492053.731172277,3098880.487679497,0.19582128414433428
2023,3. La Rioja,30848.70338807,278344.2707259488,309192.9741140188,0.09977168296422594
2024,1. Resto país,26748706.56088627,33979033.63152854,60727740.19241481,0.4404693221933411
2024,2. NOA-Resto,1818463.40458295,7332233.925021874,9150697.329604823,0.19872402496580893
2024,3. La Rioja,99814.32829621999,822190.7224962572,922005.0507924771,0.10825789751414928
