anio,geocodigo,provincia,ingresos_totales,gastos_totales,resultado_financiero,resultado_primario,resultado_sobre_ingresos,primario_sobre_ingresos,la_rioja_region,pbg_miles,pbg_millones,resultado_sobre_pbg,primario_sobre_pbg
2005,AR-F,La Rioja,1142.0514134700002,1172.1246014968865,-30.073188026886328,-3.523810739999714,-0.026332604357550058,-0.0030855097226253543,3. La Rioja,2714339.020105674,2714.339020105674,-0.01107937800110007,-0.0012982205663692392
2006,AR-F,La Rioja,1427.82917487,1348.1634957479573,79.66567912204277,97.76424241000022,0.05579496519903798,0.06847054544805851,3. La Rioja,3530735.7335047117,3530.735733504712,0.02256347830455277,0.027689481680056686
2007,AR-F,La Rioja,1729.9065450599999,1579.0606288241179,150.845916235882,169.37910568714292,0.08719888173534257,0.09791228674799204,3. La Rioja,4068736.977295855,4068.736977295855,0.03707438378976674,0.04162940652893097
2008,AR-F,La Rioja,2172.3992626000004,2018.5724323044913,153.82683029550913,171.40720103000052,0.07080964947088225,0.07890225520738514,3. La Rioja,4847426.632057872,4847.426632057872,0.03173370985714233,0.03536045288368465
2009,AR-F,La Rioja,2586.1527947160594,2641.3425424108736,-55.18974769481429,-34.053044273940905,-0.02134048220490921,-0.013167452574154529,3. La Rioja,5418892.197768215,5418.892197768215,-0.0101846919408259,-0.0062841339209452705
2010,AR-F,La Rioja,3432.3088873992524,3312.610069977636,119.69881742161624,161.21156684266674,0.03487413905579899,0.046968839964989524,3. La Rioja,6572635.1432941705,6572.63514329417,0.018211693607204222,0.0245276914552522
2011,AR-F,La Rioja,4360.302692018399,4351.381342922197,8.921349096201993,50.367607996998615,0.00204603893957469,0.011551401715572934,3. La Rioja,7900182.547274548,7900.182547274548,0.0011292586016610126,0.00637549926164361
2012,AR-F,La Rioja,5168.9900440406,5452.961760863847,-283.97171682324733,-224.45669462099954,-0.05493756312234384,-0.043423704187586655,3. La Rioja,9270519.927596072,9270.519927596071,-0.03063169261714577,-0.02421187769122278
2013,AR-F,La Rioja,6888.665000927999,6985.765673320294,-97.10067239229465,-25.843145262000874,-0.014095717004559496,-0.003751546236973266,3. La Rioja,11391416.778778275,11391.416778778275,-0.008524020697161136,-0.0022686506660124623
2014,AR-F,La Rioja,9661.2635459356,9561.492489970004,99.77105596559704,205.3375658659998,0.01032691588333389,0.02125369677472294,3. La Rioja,15030949.291347891,15030.949291347892,0.006637708239959748,0.013660984538361533
2015,AR-F,La Rioja,12468.537962792798,12160.218814581534,308.3191482112634,439.3434432210066,0.02472777074034779,0.03523616357684002,3. La Rioja,18658972.9320836,18658.972932083598,0.01652390779136171,0.02354596069248632
2016,AR-F,La Rioja,15620.160041360201,15434.538937563524,185.62110379667683,324.99928069500123,0.011883431623310882,0.02080639889952756,3. La Rioja,22677625.519164186,22677.625519164187,0.00818520896907015,0.014331274692773897
2017,AR-F,La Rioja,21735.161599056915,23920.92661684929,-2185.765017792375,-1721.6876473190857,-0.10056355034817017,-0.07921209324681484,3. La Rioja,30965085.205040388,30965.08520504039,-0.07058805113304141,-0.05560093362955886
2018,AR-F,La Rioja,27541.61063623916,29847.605438001432,-2305.9948017622737,-1210.0115662667931,-0.08372766691894386,-0.04393394352451792,3. La Rioja,40162249.05068579,40162.249050685794,-0.057416973806722046,-0.030128082835692974
2019,AR-F,La Rioja,39720.79313216766,41530.52515677644,-1809.7320246087838,120.3104531677584,-0.045561326496856444,0.0030289035963465107,3. La Rioja,62251428.978412196,62251.428978412194,-0.029071333049019165,0.0019326536778694694
2020,AR-F,La Rioja,58939.82108245,56887.10241200843,2052.7186704415653,3820.28995454,0.03482736514537513,0.06481678913133883,3. La Rioja,80412910.92027858,80412.91092027858,0.02552722749306554,0.04750841513904948
2021,AR-F,La Rioja,98455.42967738606,99186.07223792074,-730.6425605346885,2209.5718763459613,-0.007421048924663905,0.022442356745444904,3. La Rioja,139693119.91197252,139693.11991197252,-0.005230340341708326,0.01581732785221148
2022,AR-F,La Rioja,181895.95852807869,182284.90843442007,-388.9499063413823,2958.5053032886167,-0.002138309776032442,0.01626482153440436,3. La Rioja,256721886.28438178,256721.8862843818,-0.00151506329269693,0.011524164714228353
2023,AR-F,La Rioja,395487.6579696072,401718.77391893486,-6231.11594932765,1456.8113348375018,-0.015755525675105908,0.0036835822951255186,3. La Rioja,543945642.2782654,543945.6422782653,-0.011455401909700397,0.002678229627386634
