provincia,nivel,anio,anio_estudio,orden_cohorte,matricula_total,matricula_varones,matricula_mujeres,matricula_estatal,matricula_privado,indice_inicio,es_inicio,es_fin
La Rioja,Primario,2014,1° Grado,1,6912,3560,3352,6058,854,100,TRUE,FALSE
La Rioja,Primario,2015,2° Grado,2,6869,3524,3345,6022,847,99.37789351851852,FALSE,FALSE
La Rioja,Primario,2016,3° Grado,3,6940,3574,3366,6108,832,100.4050925925926,FALSE,FALSE
La Rioja,Primario,2017,4° Grado,4,6799,3503,3296,5990,809,98.36516203703704,FALSE,FALSE
La Rioja,Primario,2018,5° Grado,5,6756,3454,3302,5959,797,97.74305555555556,FALSE,FALSE
La Rioja,Primario,2019,6° Grado,6,6588,3321,3267,5825,763,95.3125,FALSE,FALSE
La Rioja,Primario,2020,7° Grado,7,6508,3243,3265,5797,711,94.1550925925926,FALSE,FALSE
La Rioja,Secundario,2021,1° Año,8,6641,3315,3326,5672,969,96.0792824074074,FALSE,FALSE
La Rioja,Secundario,2022,2° Año,9,6327,3117,3210,5415,912,91.53645833333333,FALSE,FALSE
La Rioja,Secundario,2023,3° Año,10,6181,3054,3127,5216,965,89.42418981481481,FALSE,FALSE
La Rioja,Secundario,2024,4° Año,11,5606,2693,2913,4642,964,81.10532407407408,FALSE,FALSE
La Rioja,Secundario,2025,5° Año,12,5325,2518,2807,4373,952,77.03993055555556,FALSE,TRUE
