"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNORPTHJOKRCDEJGAH00596503";3;2018;40;1;6;45000;11250;1;865;6;3;2;0;2;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";6;1;"";3;2;1;2;"";1;1;1;2;2;2;2;2;0;98;0;0;0;759
"TQRMNOQTTHJOKOCDEJMDB00603830";3;2018;46;1;30;12000;4000;1;185;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;3;1;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;182
"TQRMNOQTUHJOKOCDEJMDB00604059";3;2018;46;1;30;25000;3571,43;1;241;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;1;6;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;3;98;0;0;0;182
"TQRMNORVUHJMKRCDEJKCD00604347";3;2018;44;1;22;18000;6000;1;125;3;2;2;0;2;2;2;0;0;0;0;8;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";3;2;"";4;2;1;1;"";1;2;1;2;2;2;2;97;0;98;0;0;0;108
"TQRMNOUPQHJOKNCDEJJBJ00597277";3;2018;43;1;18;8400;2100;1;231;3;2;2;0;1;1;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;4;1;3;1;"";3;2;"";4;1;1;1;"";1;1;1;3;1;2;2;1;0;98;0;0;0;186
"TQRMNORPWHJMKNCDEKLGH00597048";3;2018;55;1;66;10000;5000;1;449;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;0;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;449
"TQRMNOPVQHJLKNCDEKOHJ00604881";3;2018;58;1;78;45000;15000;1;336;4;1;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;386
"TQRMNOSSPHJOKNCDEJJBJ00597519";3;2018;43;1;18;46000;15333,33;1;220;3;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;186
"TQRMNOQXVHJLKMCDEJMDB00604134";3;2018;46;1;30;8000;4000;1;258;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;1;"";3;1;"";4;2;1;1;"";1;1;1;1;1;2;2;1;0;98;0;0;0;252
"TQRMNORRSHJLKUCDEKIFF00594982";3;2018;52;1;54;40000;20000;1;511;3;2;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;1;2;98;0;0;0;341
"TQRMNOQPVHJOKOCDEKIFF00594992";3;2018;52;1;54;21516;7172;1;224;3;2;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";3;2;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;210
"TQRMNOQWPHJMKOCDELIJB00600746";3;2018;62;1;90;40700;13566,67;1;341;5;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;3;0;3;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;339
