CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOPYTHKKKUCDEJJBJ00613473;3;2019;43;1;18;25000;25000;1;472;3;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;405
TQRMNOSSRHKKKUCDEJJBJ00613455;3;2019;43;1;18;39600;13200;1;575;4;2;1;1;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;98;0;0;0;405
TQRMNOPRVHKKLLCDEJJBJ00613349;3;2019;43;1;18;10000;10000;1;205;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;2;;4;2;1;1;;1;1;1;3;2;2;2;1;0;98;0;0;0;182
TQTMNOPRXHKKLLCDEJJBJ00613523;3;2019;43;1;18;0;0;1;170;1;1;2;0;2;2;2;0;0;0;0;6;;2;;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;2;;4;2;2;1;;1;2;2;3;2;2;2;1;0;98;0;0;0;182
TQRMNOPVPHKKLMCDEJJBJ00613499;3;2019;43;1;18;41600;4622,22;1;166;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;3;6;1;;3;2;;4;1;1;1;;1;1;1;1;2;1;2;1;0;3;4;0;0;198
TQRMNOQXTHKKLMCDEJJBJ00613509;3;2019;43;1;18;13200;3300;1;242;2;1;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1;;2;2;;4;1;2;1;;1;1;2;1;2;1;2;2;0;98;0;0;0;198
TQRMNOPYPHKKLNCDEJJBJ00613361;3;2019;43;1;18;47250;15750;1;273;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;0;0;219
TQTMNOPYQHKKLNCDEJJBJ00613547;3;2019;43;1;18;140000;28000;1;294;5;4;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;1;1;2;2;2;2;5;1;4;1;;5;1;;2;1;1;1;;1;1;1;1;1;2;2;2;0;98;0;0;0;219
TQRMNOQSUHKLLNCDEJJBJ00613536;3;2019;43;1;18;25000;25000;1;560;1;1;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;486
TQRMNORVXHKLLNCDEJJBJ00613470;3;2019;43;1;18;86000;28666,67;1;635;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;486
