CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOQQPHJMKRCDEIJAH00663247;3;2021;33;1;6;0;0;1;0;2;1;1;1;1;1;2;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;2;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;2075
TQRMNORRTHJLKSCDEIJAH00663427;3;2021;33;1;6;150000;75000;1;3064;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;1652
TQRMNOPPYHJMLMCDEIJAH00663501;3;2021;33;1;6;0;0;1;0;4;1;1;1;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;96;0;0;0;2355
TQRMNOPSQHJMLPCDEIJAH00663271;3;2021;33;1;6;72000;10285,71;1;6618;5;2;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;7;2;5;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;6;3;7;0;0;0;4171
TQRMNORVTHJLMOCDEIJAH00663360;3;2021;33;2;6;47000;11750;1;1472;3;2;1;1;1;2;2;2;0;2;0;2;;2;;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;1056
TQRMNOQTUHJKNOCDEIIAD00663163;3;2021;32;1;2;180000;45000;1;3780;4;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;2417
TQRMNOPTQHJMLSCDEIIAD00663156;3;2021;32;1;2;0;0;1;0;4;1;2;0;1;1;2;2;0;1;1;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;97;0;1;0;0;0;2082
TQRMNOQUXHJMMLCDEIIAD00663086;3;2021;32;1;2;0;0;1;0;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;2567
TQRMNORWSHJMLPCDEIKAH00663678;3;2021;34;1;6;0;0;1;0;6;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;6;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;566
TQRMNOQQRHJLLSCDEGJBF00657783;3;2021;13;1;14;48000;24000;1;807;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;97;0;98;0;0;0;772
TQRMNOQXRHJLLSCDEGJBF00657784;3;2021;13;1;14;220000;44000;1;921;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;942
TQRMNOQQVHJMLTCDEGJBF00657787;3;2021;13;1;14;45000;22500;1;745;3;2;2;0;2;2;1;2;0;2;0;6;;1;;1;2;1;2;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;720
TQRMNOQQWHJMLTCDEGJBF00657788;3;2021;13;1;14;120000;40000;1;586;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;590
TQRMNOQQYHJMLTCDEGJBF00657790;3;2021;13;2;14;170000;56666,67;1;779;3;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;3;1;2;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;761
TQRMNORVQHJMLTCDEGJBF00657791;3;2021;13;2;14;129500;43166,67;1;779;3;1;1;1;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;761
TQSMNORVUHJMLTCDEGJBF00657793;3;2021;13;1;14;35000;35000;1;532;1;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;1;1;;5;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;507
TQRMNORVUHJMLTCDEGJBF00657792;3;2021;13;1;14;114000;38000;1;625;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;590
TQRMNOQPPHJNLUCDEGJBF00657794;3;2021;13;1;14;75000;18750;1;731;2;2;2;0;1;1;1;2;0;2;0;4;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;3;98;0;0;0;644
TQRMNORWYHJNLUCDEGJBF00657795;3;2021;13;1;14;20000;6666,67;1;659;3;2;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;3;2;;3;1;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;584
