CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOSUTHKNKMCDEIIAD00791458;3;2022;32;1;2;0;0;1;0;2;2;2;0;1;1;2;2;0;2;0;5;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;3646
TQRMNOQUWHKNKMCDEIIAD00791426;3;2022;32;1;2;350000;350000;1;3117;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;97;0;98;0;0;0;2163
TQRMNOQSVHKNKMCDEIIAD00791419;3;2022;32;1;2;0;0;1;0;3;2;1;1;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;1909
TQRMNOSSUHKNKMCDEIIAD00791459;3;2022;32;1;2;0;0;1;0;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;2397
TQRMNOQUYHKNKMCDEIIAD00791427;3;2022;32;1;2;287000;95666,67;1;3414;4;2;1;1;1;1;2;2;0;2;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;1697
TQRMNOQXSHLMKOCDEIIAD00785617;3;2022;32;1;2;110000;110000;1;1332;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;4;;1;1;;9;1;1;1;;1;2;1;1;2;2;2;1;0;98;0;0;0;1051
TQRMNOQXTHLMKOCDEIIAD00707662;3;2022;32;1;2;95000;95000;1;1241;1;1;2;0;2;2;2;0;0;0;0;5;;1;;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;1;;2;1;2;1;;1;2;1;1;2;2;2;1;0;98;0;0;0;1051
TQRMNOQXUHLMKOCDEIIAD00785717;3;2022;32;1;2;68000;68000;1;1332;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;4;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1051
TQRMNOSVQHLMKOCDEIIAD00785501;3;2022;32;1;2;170000;56666,67;1;1434;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;3;0;3;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;985
TQRMNOQXQHLMKOCDEIIAD00785578;3;2022;32;1;2;6000;2000;1;4651;1;1;2;0;2;2;2;0;0;0;0;3;;1;;3;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;4;;1;1;;2;2;1;1;;1;2;1;1;2;2;2;2;0;98;0;0;0;3192
TQRMNOQTQHLKKQCDEIIAD00703184;3;2022;32;1;2;210000;210000;1;1013;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;802
TQRMNOSQQHLKKQCDEIIAD00785428;3;2022;32;1;2;47000;47000;1;844;1;1;2;0;2;2;2;0;0;0;0;3;;1;;3;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;4;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;802
TQRMNOQTRHLKKQCDEIIAD00791482;3;2022;32;1;2;0;0;1;0;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;802
TQRMNOSQSHLKKQCDEIIAD00785703;3;2022;32;1;2;48000;48000;1;1172;1;1;2;0;1;2;2;2;0;2;0;3;;1;;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;4;;1;1;;9;1;1;1;;1;2;1;1;2;2;2;1;0;98;0;0;0;1014
