"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V3";"V4";"V6";"V7";"V8";"V9";"V10";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA";"V2_01";"V21_01";"V22_01";"V2_02";"V21_02";"V22_02";"V2_03";"V21_03";"V22_03";"V5_01";"V5_02";"V5_03";"V11_01";"V11_02"
"TQRMNOQVWHJMLLCDEHLEH00865819";3;2024;25;1;46;850000;170000;1;186;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;5;2;3;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;1;98;0;0;0;156;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSPSHLOLNCDEHLEH00806143";3;2024;25;1;46;590000;147500;1;239;3;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1;"";3;1;"";1;2;1;1;"";1;1;1;1;1;2;2;2;4;1;0;0;0;207;1;2;2;2;2;2;2;2;2;1;2;2;2;2
"TQRMNOSTQHJOLNCDEHLEH00865831";3;2024;25;1;46;492000;246000;1;203;2;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;166;1;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOQYPHKMLLCDEHNHB00866877";3;2024;27;1;70;1057000;211400;1;473;6;3;1;1;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;"";6;1;"";1;1;1;1;"";1;1;1;2;2;2;2;96;0;98;0;0;0;411;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNORSWHJLLMCDEHNHB00865974";3;2024;27;1;70;0;0;1;0;5;3;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2;2;4;0;4;1;"";5;1;"";1;1;1;1;"";1;1;2;2;2;2;2;2;0;1;0;0;0;475;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOTPYHJOLNCDEHNHB00865812";3;2024;27;1;70;1350000;1350000;1;323;4;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;297;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPPUHJOLOCDEHNHB00866630";3;2024;27;1;70;617500;123500;1;400;3;2;2;0;1;2;2;2;0;2;0;6;"";2;"";3;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;1;"";3;2;"";7;2;2;1;"";1;2;1;1;2;2;2;1;2;98;0;0;0;390;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOPVWHJMLRCDEHNHB00866671";3;2024;27;1;70;1085580;361860;1;351;1;1;2;0;2;2;2;0;0;0;0;5;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";1;1;"";7;2;1;1;"";1;1;1;2;2;2;2;2;0;98;0;0;0;380;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOPWSHMLLTCDEHNHB00811343";3;2024;27;1;70;759483;189870,75;1;477;5;2;2;0;1;1;1;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;1;3;1;"";5;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;2;4;0;0;0;424;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOPTQHLMLRCDEHNHB00806398";3;2024;27;1;70;431160;431160;1;322;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;317;1;2;2;1;2;2;2;2;2;2;2;2;2;2
